rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,custom/max_height,custom/current_screen,time/iterations,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_range,train/entropy_loss
-1.1249999999999998,356,5.633333333333334,512,1,-302.0,0,1,,,,,,,,,,
-1.1875,714,5.38,1024,1,-302.0,0,2,10,123.04147806167603,-0.027895984635688365,0.1259765625,49.34197998046875,0.014047473,0.0003,0.007249057292938232,0.2,-2.8828425824642183
-0.7174999999999998,1081,5.29,1536,1,-158.0,0,3,20,201.49784603118897,-0.019825109945668374,0.0724609375,129.12413024902344,0.011164032,0.0003,0.060737013816833496,0.2,-2.8636664658784867
-1.4254999999999995,1449,5.31,2048,1,-302.0,0,4,30,181.47734546661377,-0.021815080754458906,0.085546875,75.45340728759766,0.01171041,0.0003,0.1190902590751648,0.2,-2.845124676823616
-0.8669999999999998,1852,5.2,2560,1,-302.0,0,5,40,165.80301961898803,-0.026360246713738888,0.1541015625,87.4708480834961,0.018971931,0.0003,0.18797922134399414,0.2,-2.81550095975399
-0.8769999999999993,2243,5.17,3072,1,-158.0,0,6,50,187.74570255279542,-0.02465761456405744,0.088671875,112.91883087158203,0.011597641,0.0003,0.20598745346069336,0.2,-2.7865650832653044
-1.473,2647,5.27,3584,1,-302.0,0,7,60,206.31709060668945,-0.0216998013202101,0.0779296875,106.11914825439453,0.010514981,0.0003,0.2009754180908203,0.2,-2.75472255051136
-2.0954999999999995,3060,5.21,4096,1,-302.0,0,8,70,216.14485778808594,-0.02334438238758594,0.111328125,96.49571990966797,0.014367299,0.0003,0.18950676918029785,0.2,-2.6815307557582857
-1.463,3478,5.08,4608,1,-302.0,0,9,80,174.4127582550049,-0.02579755785409361,0.1208984375,97.74765014648438,0.013116127,0.0003,0.2522526979446411,0.2,-2.6246024072170258
-1.6360000000000001,3896,5.05,5120,1,-302.0,0,10,90,221.636736869812,-0.025006487488280982,0.1205078125,113.51298522949219,0.012822455,0.0003,0.18731266260147095,0.2,-2.5789950489997864
-1.2499999999999996,4325,4.96,5632,1,-302.0,0,11,100,204.52620735168458,-0.02464204388670623,0.141796875,87.45647430419922,0.016008541,0.0003,0.20349568128585815,0.2,-2.5161771565675735
-1.3099999999999996,4756,5.04,6144,1,-302.0,0,12,110,257.10757026672366,-0.021248151478357614,0.064453125,110.10740661621094,0.00955661,0.0003,0.16274279356002808,0.2,-2.515861761569977
-1.3474999999999995,5179,5.07,6656,1,-302.0,0,13,120,175.43250999450683,-0.025356404180638493,0.11328125,73.30024719238281,0.0134620555,0.0003,0.31308263540267944,0.2,-2.4198775202035905
-0.7944999999999998,5588,5.0,7168,1,-14.0,0,14,130,221.41952152252196,-0.019912026927340776,0.0625,82.41575622558594,0.0111836195,0.0003,0.2565040588378906,0.2,-2.412979006767273
-1.6359999999999997,6009,4.99,7680,1,-302.0,0,15,140,185.65259037017822,-0.01705193406669423,0.0453125,75.82378387451172,0.01080535,0.0003,0.22401076555252075,0.2,-2.463839501142502
-1.0769999999999997,6447,5.1,8192,1,-302.0,0,16,150,222.92150268554687,-0.02018218443263322,0.0490234375,97.67463684082031,0.008767412,0.0003,0.20495843887329102,0.2,-2.351214775443077
-1.3124999999999998,6893,5.13,8704,1,-302.0,0,17,160,221.93080921173095,-0.02172349069151096,0.10859375,113.01393127441406,0.012181047,0.0003,0.2002902626991272,0.2,-2.3376560896635055
-0.4219999999999996,7334,4.92,9216,1,-302.0,0,18,170,230.07959079742432,-0.018649876094423236,0.0759765625,74.24779510498047,0.010554248,0.0003,0.2307252287864685,0.2,-2.321257543563843
-0.9024999999999999,7785,4.8,9728,1,-302.0,0,19,180,269.5485725402832,-0.018802938575390726,0.0353515625,139.84307861328125,0.007667466,0.0003,0.27743321657180786,0.2,-2.314575380086899
-1.3675,8222,5.09,10240,1,-158.0,0,20,190,272.07187843322754,-0.01834678726736456,0.030859375,143.15602111816406,0.009305602,0.0003,0.20856505632400513,0.2,-2.3733660101890566
-1.0374999999999996,8659,4.9,10752,1,-302.0,0,21,200,255.57531394958497,-0.020709640416316687,0.0443359375,96.12030792236328,0.010046568,0.0003,0.21381008625030518,0.2,-2.3325585186481477
-1.1979999999999997,9096,4.86,11264,1,-302.0,0,22,210,230.98009300231934,-0.0212192349601537,0.080859375,122.3753662109375,0.01224957,0.0003,0.3165668845176697,0.2,-2.2926026403903963
-0.9769999999999996,9500,5.12,11776,1,-158.0,0,23,220,247.18559703826904,-0.027029429143294693,0.1365234375,98.97016143798828,0.013536857,0.0003,0.25636595487594604,0.2,-2.265673723816872
-1.6485000000000003,9939,4.91,12288,1,-302.0,0,24,230,208.94721527099608,-0.024896523775532843,0.0880859375,80.11915588378906,0.013130097,0.0003,0.33603596687316895,0.2,-2.321229320764542
-1.36,10370,4.9,12800,1,-158.0,0,25,240,253.0043004989624,-0.019441846664994954,0.0578125,106.62030792236328,0.008969014,0.0003,0.26530539989471436,0.2,-2.2474191665649412
-0.5119999999999996,10791,4.91,13312,1,-158.0,0,26,250,234.66954135894775,-0.022753455315250904,0.0818359375,119.1913070678711,0.009503404,0.0003,0.27019333839416504,0.2,-2.2730917185544968
-1.5604999999999998,11235,5.16,13824,1,-158.0,0,27,260,288.5684000015259,-0.02486195380333811,0.126953125,168.7425994873047,0.012529983,0.0003,0.14147454500198364,0.2,-2.240249127149582
-0.8744999999999996,11662,4.91,14336,1,-158.0,0,28,270,187.48412742614747,-0.020920270663918928,0.10234375,101.0280532836914,0.0111411065,0.0003,0.29451847076416016,0.2,-2.125829201936722
