rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,custom/max_height,custom/current_screen,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/clip_range,train/clip_fraction,train/value_loss,train/approx_kl,train/n_updates,train/loss
165.70411846938777,2048,41.3469387755102,1,1,1024,8714.0,25,,,,,,,,,,
138.86105275,4096,42.614583333333336,2,2,2047,8714.0,25,-0.004726451978785917,0.0009381771087646484,0.0001,-0.8080294277518988,0.2,0.04560546875,7254.014221191406,0.0063654,5,3286.212890625
156.69570051,6144,40.4,1,3,3086,8714.0,25,-0.0060187473747646434,0.016694188117980957,0.0001,-0.8105656199157238,0.2,0.0474609375,6368.89990234375,0.0068419445,10,2719.49658203125
204.46756502,8192,35.55,1,4,4158,8930.0,25,-0.0016407896939199418,0.037272870540618896,0.0001,-0.8209507219493389,0.2,0.00693359375,6972.567874145508,0.0033834544,15,3814.671875
199.33981641999998,10240,35.01,1,5,5211,8834.0,25,-0.0024514950753655286,0.022829413414001465,0.0001,-0.8288885872811079,0.2,0.012109375,7147.077059936523,0.0048826183,20,3335.939453125
191.79947823000003,12288,37.72,1,6,6246,8714.0,25,-0.0044807480677263815,0.018541991710662842,0.0001,-0.8145799212157726,0.2,0.026171875,6712.675344848632,0.004500554,25,3312.815185546875
185.64372948,14336,40.07,1,7,7278,8930.0,25,-0.005282478293520398,0.010582983493804932,0.0001,-0.8029524613171816,0.2,0.02294921875,5662.786923217774,0.005657034,30,3129.463134765625
189.74439352999997,16384,36.38,1,8,8374,8930.0,25,-0.004494140468887053,0.007933616638183594,0.0001,-0.788887170702219,0.2,0.0390625,5313.955715942383,0.0069499267,35,2703.1787109375
196.53123331000003,18432,33.67,1,9,9483,8714.0,25,-0.005578123338636942,0.0061757564544677734,0.0001,-0.7939964346587658,0.2,0.0224609375,5740.364306640625,0.0037509927,40,3472.457763671875
200.59649111,20480,33.65,1,10,10577,8714.0,25,-0.006880743347574025,0.004226863384246826,0.0001,-0.7782296571880579,0.2,0.022265625,5867.90266418457,0.0051334724,45,2132.708740234375
211.28624927999996,22528,30.85,1,11,11716,8714.0,25,-0.0026811048155650496,0.005281686782836914,0.0001,-0.7563659809529781,0.2,0.01123046875,5221.951823425293,0.0034505485,50,2430.202392578125
193.21478302,24576,31.5,1,12,12892,8930.0,25,-0.005616836463741492,0.0036330223083496094,0.0001,-0.7201841022819281,0.2,0.03623046875,5696.134045410156,0.006292695,55,3069.146484375
188.28663835999998,26624,32.7,1,13,13988,8930.0,25,-0.0022722772642737254,0.0019939541816711426,0.0001,-0.7244918152689934,0.2,0.02958984375,5637.855749511718,0.0030334024,60,2735.83154296875
