time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,custom/max_height,custom/current_screen,train/entropy_loss,train/clip_fraction,train/n_updates,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/learning_rate,train/loss
1024,1381,0,4.79,1,181.51338294999996,11618.0,33,,,,,,,,,,
2048,2811,0,4.27,2,200.97445662000007,11794.0,33,-0.7063096418976784,0.1318359375,5,0.2,0.009617061,-0.027763922372832893,2.9206275939941406e-05,32680.737109375,0.0001,15726.7802734375
