custom/current_screen,time/iterations,time/time_elapsed,custom/max_height,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/value_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/n_updates
37,1,1193,13058.0,0,1024,7.93,-72.67265511,,,,,,,,,,
37,2,2218,13282.0,0,2048,10.3,89.03597126000001,35795.13397930195,-0.00046813488006591797,0.2,-0.6547834648714437,0.020757478,21238.47265625,-0.02141313644295389,0.1525974025974026,0.0001,5
37,3,3135,13058.0,0,3072,11.96,170.02622698,42976.546223958336,0.000991523265838623,0.2,-0.639417153596878,0.015758589,18497.61328125,-0.010838975167522828,0.09010416666666667,0.0001,7
37,4,4072,13258.0,1,4096,11.68,172.20203901999997,46618.67426757813,0.0026013851165771484,0.2,-0.6162565857172012,0.005651086,25884.2578125,-0.010943124192999676,0.05546875,0.0001,12
37,5,4995,13282.0,1,5120,12.29,220.04407132,48533.307373046875,0.00047016143798828125,0.2,-0.6135991357266903,0.010190006,24598.490234375,-0.013747627171687782,0.0744140625,0.0001,17
37,6,5921,13058.0,1,6144,13.26,235.61269113999995,46245.71791992187,-0.0006326436996459961,0.2,-0.5940689533948899,0.007789365,25694.1015625,-0.011886191775556654,0.0830078125,0.0001,22
37,7,6890,13058.0,1,7168,10.73,245.80069397,44618.95346679688,-0.0002092123031616211,0.2,-0.5694035582244397,0.0057140924,23443.962890625,-0.008919664943823591,0.0419921875,0.0001,27
37,8,7860,13202.0,1,8192,11.24,197.10961051999996,55833.17109375,-5.030632019042969e-05,0.2,-0.5583972629159689,0.004890769,24541.208984375,-0.007799686241196468,0.0359375,0.0001,32
37,9,8768,13058.0,1,9216,12.28,265.11780004999997,47856.48061523437,5.7220458984375e-06,0.2,-0.5562083441764116,0.00617708,23276.201171875,-0.008236377534922212,0.054296875,0.0001,37
