custom/max_height,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed,custom/current_screen,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/loss,train/explained_variance,train/learning_rate,train/value_loss,train/clip_fraction
9994.0,2048,3,65.56666666666666,1,674,28,364.91691436666673,,,,,,,,,,
9794.0,4096,3,63.984375,2,1364,28,322.003782171875,-0.07030689625535161,20,0.0006043057,-0.0024900744057958944,0.2,20127.0,0.0061432719230651855,0.0001,44402.04256591797,0.00263671875
9778.0,6144,3,66.6086956521739,3,2025,28,384.3119987717392,-0.06310219128499739,25,0.00091161486,-0.0033437039906857534,0.2,22272.61328125,0.005988121032714844,0.0001,45326.36071777344,0.0080078125
9794.0,8192,3,67.18,4,2705,28,399.53757773000007,-0.060854110633954406,30,0.000320113,-0.0006333772354992107,0.2,26557.287109375,0.01148134469985962,0.0001,45219.722692871095,0.00166015625
9994.0,10240,3,70.63,5,3362,28,462.1345100900001,-0.06441602766280993,35,0.0004003515,-0.000719665978976991,0.2,24693.22265625,0.008655428886413574,0.0001,44033.09512939453,0.0015625
