time/fps,rollout/ep_len_mean,custom/current_screen,custom/max_height,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/explained_variance,train/value_loss,train/entropy_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/clip_range,train/loss
1,18.75925925925926,17,5866.0,176.22459088888888,1024,842,1,,,,,,,,,,
1,19.5,17,6010.0,207.14051866000003,2048,1661,2,0.006083846092224121,26429.494067382813,-0.6659201301634312,0.0001,20,-0.015235406073043124,0.0390625,0.0044125104,0.2,14048.123046875
1,19.95,17,6002.0,239.02898550999996,3072,2497,3,0.008617699146270752,23339.59455566406,-0.6778489954769611,0.0001,25,-0.008923378604231402,0.03828125,0.0045482838,0.2,9378.443359375
1,19.12,17,6066.0,219.29390965,4096,3366,4,0.003580808639526367,21635.1998046875,-0.6728197291493416,0.0001,30,-0.007524719985667616,0.010546875,0.0032880225,0.2,12101.6796875
1,19.35,17,5866.0,243.24773455,5120,4209,5,0.0030730366706848145,24493.99104003906,-0.682816169410944,0.0001,35,-0.011317176831653342,0.051171875,0.007643232,0.2,14524.8662109375
1,19.36,17,6010.0,263.40364274,6144,5070,6,0.0028024911880493164,22052.58303222656,-0.6860951416194438,0.0001,40,-0.009614903319743462,0.02734375,0.0049444493,0.2,11645.7392578125
1,19.45,17,6026.0,252.87264769,7168,5927,7,0.002932906150817871,23455.367944335936,-0.6908404603600502,0.0001,45,-0.010049785126466305,0.0228515625,0.004329539,0.2,9758.240234375
1,19.13,17,6002.0,250.38455629999996,8192,6784,8,0.0010328292846679688,22022.1087890625,-0.7202442795038223,0.0001,50,-0.00947314263903536,0.0443359375,0.0058286395,0.2,13340.935546875
1,18.69,17,5898.0,239.84594889999997,9216,7670,9,0.0039261579513549805,20484.62141113281,-0.7158230319619179,0.0001,55,-0.007087182981194928,0.0134765625,0.0025416068,0.2,10851.7314453125
1,19.06,17,5818.0,263.74599511,10240,8530,10,0.0021765828132629395,20892.112670898438,-0.7290873102843761,0.0001,60,-0.012301066084182822,0.0333984375,0.0055960678,0.2,9384.921875
1,18.55,17,6066.0,272.97067790000006,11264,9400,11,0.00045478343963623047,20435.05305175781,-0.7003621540963649,0.0001,65,-0.01303366951760836,0.0337890625,0.005520786,0.2,9695.998046875
1,19.29,17,6010.0,276.61197798000006,12288,10257,12,0.00011450052261352539,19911.547412109376,-0.6958862476050853,0.0001,70,-0.007541722811583895,0.017578125,0.0031337978,0.2,8906.9541015625
1,19.06,17,5906.0,263.55503004999997,13312,11117,13,0.002390623092651367,18697.496667480467,-0.7183547914028168,0.0001,75,-0.007076837273780256,0.0255859375,0.003208619,0.2,9135.3525390625
1,19.27,17,6066.0,280.32550169999996,14336,11972,14,0.0002765655517578125,20958.487036132814,-0.7072158336639405,0.0001,80,-0.011358664103318006,0.0236328125,0.004065516,0.2,9981.849609375
