time/total_timesteps,custom/max_height,time/fps,time/time_elapsed,custom/current_screen,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/n_updates,train/value_loss,train/loss,train/approx_kl,train/learning_rate
2048,4570.0,0,2267,13,1,5.53,236.56825393,,,,,,,,,,
4096,4610.0,0,4541,13,2,5.52,234.03419907,0.020399305555555556,0.2,-0.0105184153912382,-0.0003222227096557617,-0.66812654501862,2,42376.552734375,19778.470703125,0.012166418,0.0001
