time/fps,custom/max_height,custom/current_screen,rollout/ep_rew_mean,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/loss,train/approx_kl,train/n_updates,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/entropy_loss
1,10858.0,31,62.759601480519486,2048,1,26.571428571428573,1129,,,,,,,,,,
1,11090.0,31,76.82177913,4096,2,25.78,2299,3293.141357421875,0.005289163,210,0.17982453107833862,7839.919213867188,-0.0030359052820131184,0.01748046875,0.2,0.0001,-1.008523866161704
1,10858.0,31,72.16675311,6144,3,26.16,3458,3003.5791015625,0.0046910923,215,0.21501874923706055,7451.587158203125,-0.003607636009110138,0.0447265625,0.2,0.0001,-1.026720629632473
1,10858.0,31,35.11025246,8192,4,27.35,4556,3076.072998046875,0.00650146,220,0.23077648878097534,7317.877444458008,-0.0023716789291938767,0.022265625,0.2,0.0001,-1.0255391299724579
1,10858.0,31,71.51742204,10240,5,24.99,5694,3925.6298828125,0.0059737903,225,0.2292991280555725,8251.904742431641,-0.0018008203187491745,0.0140625,0.2,0.0001,-0.9930639337748289
1,11090.0,31,55.421206209999994,12288,6,27.0,6798,3570.910888671875,0.0047872243,230,0.21782958507537842,7612.728656005859,-0.004456301245954819,0.021484375,0.2,0.0001,-0.9946042314171791
1,10858.0,31,52.606164209999996,14336,7,28.94,7875,4140.43408203125,0.008397663,235,0.2444387674331665,7642.62200012207,-0.005033053233637475,0.0494140625,0.2,0.0001,-1.014429109916091
