custom/current_screen,rollout/ep_rew_mean,custom/max_height,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/entropy_loss,train/clip_range,train/n_updates,train/learning_rate,train/loss,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
0,70.81646029000001,-158.0,8.88,2048,1,1615,1,,,,,,,,,,
0,108.74930824000003,-14.0,8.38,4096,1,3512,2,-0.5511918713649114,0.2,1,0.0003,4266.814453125,7406.46435546875,0.022516152,-0.014271417011817297,-0.00165557861328125,0.1171875
0,164.54694347,-14.0,7.4,6144,1,5654,3,-0.6298176050186157,0.2,2,0.0003,7220.37353515625,11944.533311631945,0.010896487,-0.018153271948297817,0.002652883529663086,0.0920138888888889
0,176.05716505000004,-14.0,7.09,8192,1,7944,4,-0.6247197645051139,0.2,3,0.0003,10692.611328125,18287.94921875,0.0095594525,-0.01758361967014415,0.003447413444519043,0.08928571428571429
0,208.17526886,-14.0,6.51,10240,0,10287,5,-0.5686944820664146,0.2,5,0.0003,9078.109375,19796.14032315341,0.01269651,-0.0179433673620224,0.0014824867248535156,0.11534090909090909
