rollout/ep_len_mean,time/fps,time/time_elapsed,custom/max_height,time/total_timesteps,rollout/ep_rew_mean,custom/current_screen,time/iterations,train/n_updates,train/loss,train/clip_range,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/approx_kl,train/value_loss
19.22,1,1401,10242.0,2048,113.60656122999997,29,1,,,,,,,,,,
21.47,1,2756,10130.0,4096,135.72452865,29,2,191,4681.8046875,0.2,0.0001170039176940918,0.02734375,-0.000609427661402151,0.0001,-0.4841125663369894,0.0055296393,10295.701593017578
18.93,1,4213,10130.0,6144,131.11806282999999,29,3,196,4708.4423828125,0.2,-0.00014412403106689453,0.055078125,0.0006532181985676288,0.0001,-0.46316229104995726,0.0036296882,8712.627850341796
23.14,1,5496,10130.0,8192,138.26242249999999,29,4,201,5763.50439453125,0.2,0.00015288591384887695,0.0865234375,0.0004893977136816829,0.0001,-0.4890679445117712,0.011881117,10001.446096801757
23.2,1,6781,10130.0,10240,132.60588305,29,5,203,2989.6884765625,0.2,0.00021791458129882812,0.03545673076923077,0.00565789623830754,0.0001,-0.46035641718369263,0.007066661,7998.32173039363
21.47,1,8178,10370.0,12288,117.40457777,29,6,204,4188.11083984375,0.2,4.547834396362305e-05,0.0125,-0.0027402560971677304,0.0001,-0.4124316763877869,0.0033252484,7122.03181640625
19.34,1,9614,10130.0,14336,150.18513034,29,7,209,4976.2880859375,0.2,0.0001125335693359375,0.021875,-0.0034770913480315357,0.0001,-0.4518033379688859,0.0037666827,9831.326803588867
