rollout/ep_rew_mean,time/iterations,custom/current_screen,custom/max_height,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/approx_kl,train/value_loss,train/loss,train/learning_rate,train/clip_range,train/entropy_loss,train/explained_variance
-34.77536534782609,1,31,10858.0,1036,29.347826086956523,1,2048,,,,,,,,,,
-14.888273640000007,2,31,11002.0,2098,29.7,1,4096,-0.003480475452670362,0.02568359375,20,0.0038045114,6393.462747192383,2582.84521484375,0.0001,0.2,-0.9345278922468424,0.0675540566444397
-24.732754499999995,3,31,10858.0,3134,30.67,1,6144,-0.0020339823298854754,0.0162109375,25,0.0055300817,7096.000646972656,3339.396728515625,0.0001,0.2,-0.9762911982834339,0.08157593011856079
-20.381156530000005,4,31,10858.0,4152,31.5,1,8192,-0.002377853717189282,0.00908203125,30,0.0024056402,5821.772155761719,3252.920654296875,0.0001,0.2,-0.936693174391985,0.1316361427307129
