time/fps,custom/max_height,custom/current_screen,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/clip_fraction,train/loss,train/n_updates,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/entropy_loss,train/clip_range,train/explained_variance
0,2738.0,8,1,22.95505617977528,2270,-116.0207277191011,2048,,,,,,,,,,
0,2610.0,8,2,19.68,4583,-119.61492913000002,4096,0.0001,0.05341796875,573.2078247070312,80,-0.013289028778672218,1414.965033340454,0.010182949,-2.1633475482463838,0.2,-3.123283386230469e-05
0,2698.0,8,3,23.98,6923,-112.99818,6144,0.0001,0.04501953125,847.0062866210938,85,-0.014706472004763781,1492.237767791748,0.006922934,-2.14026014059782,0.2,-2.0503997802734375e-05
0,2610.0,8,4,30.65,9068,-113.65651399000002,8192,0.0001,0.12958984375,505.87457275390625,90,-0.011291213717777282,1113.527375793457,0.014548345,-2.162181995809078,0.2,-1.6808509826660156e-05
0,2698.0,8,5,32.85,11153,-117.22553494999998,10240,0.0001,0.09505208333333333,388.9256591796875,93,-0.0037890468310150835,918.6624043782552,0.023386005,-2.1791166067123413,0.2,5.245208740234375e-06
0,2698.0,8,6,30.56,13345,-117.33905986999999,12288,0.0001,0.1307091346153846,555.5265502929688,95,-0.00223133539279493,953.4664705716647,0.015901044,-2.1367949751707225,0.2,2.0265579223632812e-05
0,2698.0,8,7,31.01,15529,-113.30907046,14336,0.0001,0.13095238095238096,386.0423889160156,99,-0.00685667060315609,817.6394252232143,0.016048975,-2.10912188348316,0.2,3.170967102050781e-05
0,2770.0,8,8,32.54,17687,-115.54698532000002,16384,0.0001,0.10322265625,485.7538757324219,104,-0.0042572171136271205,835.1204271316528,0.014253196,-2.114350639283657,0.2,8.028745651245117e-05
