custom/current_screen,rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,custom/max_height,rollout/ep_rew_mean,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_range,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate
0,5.655555555555556,512,1,1,354,-302.0,-1.3499999999999996,,,,,,,,,,
0,5.38,1024,1,2,700,-302.0,-1.2305,0.1228515625,-0.01182866096496582,10,-2.8847663581371306,0.2,0.01117222,119.82009563446044,-0.020096414902945982,61.99005126953125,0.0003
0,5.59,1536,1,3,1068,-302.0,-0.5789999999999996,0.1384765625,0.03759336471557617,20,-2.8725645512342455,0.2,0.015823469,154.26212844848632,-0.025956972123822197,63.14983367919922,0.0003
0,5.33,2048,1,4,1439,-158.0,-0.7895,0.148046875,0.09571599960327148,30,-2.8530784875154493,0.2,0.014719633,134.0051586151123,-0.025668556583696045,56.25566864013672,0.0003
0,5.39,2560,1,5,1813,-302.0,-1.0674999999999997,0.1060546875,0.14983123540878296,40,-2.8228311777114867,0.2,0.011828141,173.43803367614746,-0.026317262242082508,125.48420715332031,0.0003
0,5.43,3072,1,6,2194,-302.0,-1.2979999999999998,0.24296875,0.23559319972991943,50,-2.7743452340364456,0.2,0.016969748,151.24107761383056,-0.03457433463772759,74.48587799072266,0.0003
0,5.21,3584,1,7,2586,-302.0,-1.1374999999999995,0.1609375,0.04989004135131836,60,-2.7421082347631454,0.2,0.017347228,161.98749961853028,-0.028365563391707836,53.50141143798828,0.0003
0,5.37,4096,1,8,2979,-302.0,-1.954,0.096875,0.15926408767700195,70,-2.7135090082883835,0.2,0.012020711,194.93086051940918,-0.018693448626436293,96.65354919433594,0.0003
0,5.24,4608,1,9,3384,-302.0,-1.4175000000000002,0.1033203125,0.2424953579902649,80,-2.6627425372600557,0.2,0.010507461,152.50980072021486,-0.02301207563141361,58.997737884521484,0.0003
0,5.07,5120,1,10,3787,-158.0,-0.36149999999999965,0.130078125,0.1811782717704773,90,-2.619702917337418,0.2,0.012765314,190.7550763130188,-0.025309002678841352,115.23722076416016,0.0003
0,5.48,5632,1,11,4186,-302.0,-1.2349999999999994,0.09296875,0.20738202333450317,100,-2.5673659801483155,0.2,0.01248326,199.5433702468872,-0.025229225913062692,77.61983489990234,0.0003
0,5.21,6144,1,12,4608,-158.0,-0.8694999999999997,0.16875,0.2794906497001648,110,-2.5136713713407515,0.2,0.014425196,164.31935586929322,-0.03052324097370729,85.62620544433594,0.0003
0,5.22,6656,1,13,5039,-158.0,-0.8264999999999998,0.09765625,0.2789795994758606,120,-2.437157416343689,0.2,0.0123875495,195.7133092880249,-0.024707449367269874,92.5540542602539,0.0003
0,4.88,7168,1,14,5463,-302.0,-1.7529999999999994,0.0669921875,0.13987833261489868,130,-2.4189798474311828,0.2,0.01028108,182.52803888320923,-0.017037036048714073,95.87372589111328,0.0003
0,5.11,7680,1,15,5875,-302.0,-1.4325,0.06015625,0.21240931749343872,140,-2.5027651727199554,0.2,0.01004261,232.41527004241942,-0.0182939019810874,131.3297576904297,0.0003
0,5.22,8192,1,16,6289,-302.0,-1.5279999999999998,0.09453125,0.25765353441238403,150,-2.5200434535741807,0.2,0.01044516,193.03609714508056,-0.019579540437553077,80.5573501586914,0.0003
0,4.98,8704,1,17,6685,-158.0,-1.2225,0.1181640625,0.22606509923934937,160,-2.4687754243612288,0.2,0.011162421,214.9722858428955,-0.02524477642728016,116.06704711914062,0.0003
0,4.89,9216,1,18,7101,-302.0,-1.1475,0.0322265625,0.21724873781204224,170,-2.5009244978427887,0.2,0.005709229,251.16899738311767,-0.015457300218986347,125.92062377929688,0.0003
0,4.95,9728,1,19,7530,-158.0,-1.2774999999999996,0.1056640625,0.1934586763381958,180,-2.4581423312425614,0.2,0.014540852,277.19953498840334,-0.02589402557350695,126.70759582519531,0.0003
0,4.85,10240,1,20,7944,-158.0,-0.8244999999999996,0.112109375,0.25014764070510864,190,-2.4652711510658265,0.2,0.0106502045,229.04437561035155,-0.027089017629623412,88.95684051513672,0.0003
0,5.2,10752,1,21,8366,-158.0,-0.8394999999999999,0.0521484375,0.2753027081489563,200,-2.4895103335380555,0.2,0.011766572,183.02557220458985,-0.016901684657204895,95.65969848632812,0.0003
