time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,custom/max_height,time/total_timesteps,custom/current_screen,rollout/ep_rew_mean,train/approx_kl,train/loss,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_range,train/n_updates
1,972,8.25,1,14082.0,1024,40,169.32937252,,,,,,,,,,
1,1919,8.07,2,14178.0,2048,40,162.91565103000002,0.008158449,10927.294921875,-0.008293619379401207,0.1095703125,22465.72805175781,-0.6665652297437191,0.0001,-7.271766662597656e-06,0.2,82
1,2879,8.35,3,14082.0,3072,40,120.28683284,0.0028860394,10670.869140625,-0.0023152339970692994,0.0236328125,22695.35,-0.6775496207177639,0.0001,-7.3909759521484375e-06,0.2,87
1,3838,9.12,4,14178.0,4096,40,148.18192589000003,0.018958896,13709.17578125,-0.004675740908299174,0.04538690476190476,24554.33128720238,-0.6624389234043303,0.0001,-6.794929504394531e-06,0.2,89
1,4814,8.6,5,14306.0,5120,40,153.02184121,0.00682074,11207.2646484375,-0.005487622960936278,0.0443359375,20740.148974609376,-0.7130875676870346,0.0001,-8.225440979003906e-06,0.2,94
1,5775,8.69,6,14178.0,6144,40,152.82259689,0.0071917856,12007.4423828125,-0.0022388901794329285,0.0337890625,21319.925244140624,-0.6658515125513077,0.0001,-7.987022399902344e-06,0.2,99
1,6734,8.85,7,14082.0,7168,40,177.37537350999995,0.010110371,12085.9453125,-0.004650292824953795,0.06328125,21860.783740234376,-0.6783361628651619,0.0001,-4.172325134277344e-06,0.2,104
1,7669,8.68,8,14306.0,8192,40,148.02878809000003,0.00980168,8557.373046875,-0.007311732682865113,0.0552734375,18539.170666503906,-0.6529156111180783,0.0001,-5.602836608886719e-06,0.2,109
1,8602,9.41,9,14082.0,9216,40,167.71530596,0.022524878,9599.3740234375,-0.005304616973980477,0.09457236842105263,20885.65152138158,-0.641445865756587,0.0001,-4.0531158447265625e-06,0.2,111
1,9562,8.88,10,14306.0,10240,40,184.82179241000003,0.00827528,7499.4921875,-0.004976429068483413,0.0599609375,19296.79959716797,-0.6866165325045586,0.0001,-6.198883056640625e-06,0.2,116
1,10511,8.68,11,14178.0,11264,40,176.25535933999998,0.006822044,7964.02099609375,-0.005027424654690549,0.0474609375,17523.827587890624,-0.6831867098808289,0.0001,-5.364418029785156e-06,0.2,121
1,11462,8.95,12,14082.0,12288,40,169.71771203999998,0.0035369308,9378.0498046875,-0.006543826404958963,0.046875,17510.07536621094,-0.672776510566473,0.0001,-4.5299530029296875e-06,0.2,126
1,12396,9.01,13,14306.0,13312,40,173.50550267,0.005487847,11722.5361328125,-0.0008816868881694973,0.03125,19010.531994628906,-0.6831665478646756,0.0001,-4.649162292480469e-06,0.2,131
1,13330,9.13,14,14082.0,14336,40,148.52915500999998,0.012494331,9371.099609375,-0.009661682252772152,0.094140625,17522.268395996092,-0.7167866319417954,0.0001,-4.172325134277344e-06,0.2,136
1,14270,8.77,15,14258.0,15360,40,159.78457714,0.0076220543,9732.3203125,-0.0075325146317481995,0.06484375,18464.75595703125,-0.7161519736051559,0.0001,-4.649162292480469e-06,0.2,141
1,15225,8.61,16,14178.0,16384,40,156.40595631000002,0.025188902,9241.154296875,-0.003966522440314293,0.0771875,20419.731015625,-0.6892041552066803,0.0001,-4.172325134277344e-06,0.2,145
1,16239,8.94,17,14178.0,17408,40,169.48718345999998,0.012993108,9460.8408203125,0.022859813712005104,0.09040178571428571,21179.32059151786,-0.7014821086611066,0.0001,-2.384185791015625e-06,0.2,146
1,17229,8.88,18,14178.0,18432,40,144.01777151,0.0033245492,8368.65234375,0.003205116727622226,0.0375,16474.84393310547,-0.7224859781563282,0.0001,-1.6689300537109375e-06,0.2,151
1,18171,8.84,19,14306.0,19456,40,183.47932517,0.0064858957,9914.3095703125,-0.0020055665343534203,0.0619140625,19172.11123046875,-0.6980280712246895,0.0001,-2.86102294921875e-06,0.2,156
1,19128,8.48,20,14082.0,20480,40,169.08203544000003,0.013040852,9267.0859375,0.0032208328350232197,0.09735576923076923,16548.91180889423,-0.6838839191656846,0.0001,-1.7881393432617188e-06,0.2,157
1,20079,8.85,21,14082.0,21504,40,160.17711334,0.002439801,9912.837890625,0.001262276468332857,0.0220703125,18800.019946289063,-0.6570896200835705,0.0001,-3.2186508178710938e-06,0.2,162
1,20998,8.82,22,14082.0,22528,40,186.51021809000005,0.0037656664,10259.685546875,-0.001928461657371372,0.0509765625,18483.98846435547,-0.6652225434780121,0.0001,-2.9802322387695312e-06,0.2,167
1,21926,8.85,23,14178.0,23552,40,191.0225733,0.008311141,7551.01708984375,-0.004238540719961747,0.07421875,16382.941149902344,-0.6802920244634152,0.0001,-3.2186508178710938e-06,0.2,172
1,22854,8.54,24,14258.0,24576,40,165.40704193000002,0.004473618,6769.38720703125,-0.0012871906277723611,0.0484375,13992.332690429688,-0.6827196396887303,0.0001,-1.0728836059570312e-06,0.2,177
1,23834,8.42,25,14178.0,25600,40,145.70270844,0.0034150062,9169.3525390625,-0.005147322500124574,0.0357421875,16450.087670898436,-0.6851247012615204,0.0001,-2.0265579223632812e-06,0.2,182
1,24790,8.51,26,14258.0,26624,40,142.69867604000004,0.014845195,7022.8408203125,0.00027381696150098974,0.07833059210526316,19381.008133737665,-0.6780062443331668,0.0001,-2.0265579223632812e-06,0.2,187
1,25744,8.82,27,14082.0,27648,40,174.73054363,0.0128591135,8242.669921875,2.5539612397551537e-05,0.134765625,19344.82664794922,-0.6972575448453426,0.0001,-2.1457672119140625e-06,0.2,192
