rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/clip_range,train/n_updates,train/learning_rate,train/loss,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
-104.46827642,3.66,2048.0,1.0,0,3051,,,,,,,,,,
-94.75071626,5.5,4096.0,2.0,0,5848,-2.292188447713852,0.2,5.0,0.0001,5100.71435546875,10776.080401611329,0.015249974,-0.0430187298741657,-0.00244140625,0.2283203125
-86.88971233999999,5.62,6144.0,3.0,0,8599,-2.2641244024038314,0.2,10.0,0.0001,3148.088134765625,8383.085586547852,0.011305602,-0.0363773742632474,-0.006710410118103,0.13017578125
-84.79138302999998,6.93,8192.0,4.0,0,11325,-2.2297403320670126,0.2,15.0,0.0001,3347.387451171875,7916.700836181641,0.010117861,-0.0304589104489423,0.0011368989944458,0.0927734375
-72.90420400000001,8.86,10240.0,5.0,0,14039,-2.1976196348667143,0.2,20.0,0.0001,3506.620849609375,6857.462725830078,0.0076570567,-0.0273896488419268,0.0014038681983947,0.08076171875
-64.45994619000001,11.78,12288.0,6.0,0,16707,-2.1702654376626014,0.2,25.0,0.0001,2924.9267578125,6637.018576049804,0.008502275,-0.0240188674681121,0.0009704232215881,0.0447265625
-42.47430494,11.54,14336.0,7.0,0,19268,-2.1557411774992943,0.2,30.0,0.0001,1784.034912109375,5417.2481689453125,0.0046700835,-0.0143231654743431,0.0014560222625732,0.0224609375
-45.123127620000005,12.17,16384.0,8.0,0,21833,-2.155173586308956,0.2,35.0,0.0001,4425.1767578125,7964.624786376953,0.008892644,-0.0182580811058869,0.0033296346664428,0.0984375
-31.87174592,10.27,18432.0,9.0,0,24333,-2.1594868436455728,0.2,40.0,0.0001,4027.724853515625,7572.173246765136,0.005886621,-0.0078127918037353,0.0081555843353271,0.0400390625
-39.00911208,10.25,20480.0,10.0,0,2561,,,,,,,,,,
4.470439249999999,11.08,22528.0,11.0,0,5093,-2.1276749208569528,0.2,90.0,0.0001,5248.9111328125,10942.27035522461,0.0054260883,-0.0135172798734856,0.0132738947868347,0.040625
83.17953748,14.3,24576.0,12.0,0,7672,-2.100659826397896,0.2,95.0,0.0001,4873.7880859375,14204.525970458984,0.0066855587,-0.0157864215929294,0.020864725112915,0.017578125
57.08729702,11.34,26624.0,13.0,0,10263,-2.093188200891018,0.2,100.0,0.0001,8639.9599609375,17463.821704101563,0.005395498,-0.0076875342492712,0.0188381075859069,0.01572265625
102.57273614,11.83,28672.0,14.0,0,12954,-2.061935733258724,0.2,105.0,0.0001,9439.107421875,18527.571051025392,0.0076536722,-0.0148718575190287,0.0091803073883056,0.02080078125
168.36201368000002,11.97,30720.0,15.0,0,15547,-2.0245476238429547,0.2,110.0,0.0001,9510.3017578125,21337.29529418945,0.007369592,-0.0187562812527176,0.0102357268333435,0.0451171875
143.56139622,12.32,32768.0,16.0,0,18199,-1.9796680204570292,0.2,115.0,0.0001,10842.3955078125,21990.88625488281,0.0070714247,-0.0200346860248828,0.0090363025665283,0.02021484375
144.03398133,12.23,34816.0,17.0,0,20751,-1.9799289517104623,0.2,120.0,0.0001,10454.296875,22554.600158691406,0.005425468,-0.0054934492218308,0.0079408288002014,0.0146484375
150.65553631999998,11.57,36864.0,18.0,0,23343,-1.9868701592087743,0.2,125.0,0.0001,11074.9912109375,22396.80842285156,0.0065349555,-0.0067841354146366,0.0025227665901184,0.04091796875
161.83958999,12.26,38912.0,19.0,0,25883,-1.9672905005514625,0.2,130.0,0.0001,11668.6591796875,23834.63624267578,0.0054884823,-0.0155706644174642,0.0048602223396301,0.0296875
182.66057532,11.9,40960.0,20.0,0,28478,-1.9552942879498003,0.2,135.0,0.0001,12136.1220703125,23067.303283691406,0.0060286205,-0.0132068880746373,0.0036986470222473,0.0248046875
192.31417923,11.19,43008.0,21.0,0,30980,-1.9388881638646125,0.2,140.0,0.0001,11479.9638671875,23118.21076660156,0.0057678614,-0.0157210148056037,0.0036414265632629,0.0146484375
