rollout/ep_len_mean,time/iterations,custom/current_screen,time/fps,custom/max_height,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/entropy_loss,train/explained_variance,train/n_updates,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/loss,train/learning_rate,train/clip_fraction,train/clip_range
10.65,1,16,0,5722.0,123.54697777999999,2510,2048,,,,,,,,,,
11.25,2,16,0,5530.0,146.30778550000002,5047,4096,-0.5530159024521708,0.05119806528091431,87,12617.894567871093,-0.0031063058035215364,0.0018837996,6150.40966796875,0.0001,0.01103515625,0.2
10.92,3,16,0,5530.0,128.11394677,7562,6144,-0.5305082511156798,0.058788836002349854,92,12185.064825439453,-0.004307524536852725,0.0015363572,6606.611328125,0.0001,0.01123046875,0.2
12.04,4,16,0,5530.0,156.95647765,10031,8192,-0.5271152758970856,0.04127448797225952,97,11697.361248779296,-0.003153245359135326,0.0012341435,6480.97607421875,0.0001,0.01025390625,0.2
11.35,5,16,0,5530.0,156.34157885000002,12502,10240,-0.5291249074041844,0.0705270767211914,102,10731.95516357422,-0.004889552170061507,0.004034091,4616.89404296875,0.0001,0.026171875,0.2
11.38,6,16,0,5618.0,157.02680702,15061,12288,-0.5143581049516797,0.015138864517211914,107,9784.453747558593,-0.006819716078462079,0.0050874376,4137.8056640625,0.0001,0.0404296875,0.2
11.52,7,16,0,5530.0,148.72540937,17599,14336,-0.5098129423335195,0.007403731346130371,112,10281.653131103516,-0.004656887250166619,0.0021369145,5308.0341796875,0.0001,0.012890625,0.2
11.08,8,16,0,5530.0,141.79541466999999,20127,16384,-0.522703361324966,0.07565295696258545,117,9897.140582275391,-0.002433365702745505,0.0012596115,5844.490234375,0.0001,0.00888671875,0.2
11.48,9,16,0,5618.0,157.74050312,22670,18432,-0.5168687907978893,0.038258135318756104,122,9458.486254882813,-0.0053160568233579395,0.0029929895,3620.4638671875,0.0001,0.01416015625,0.2
10.88,10,16,0,5530.0,138.70518449,25238,20480,-0.5192332053557038,0.016298949718475342,127,9170.323571777344,-0.0021462384625920094,0.0009702222,4620.255859375,0.0001,0.00732421875,0.2
11.67,11,16,0,5618.0,163.96133461999997,27737,22528,-0.5078522836789489,0.04661017656326294,132,9550.92658996582,-0.003998446615878492,0.0012289311,4200.4677734375,0.0001,0.01025390625,0.2
11.42,12,16,0,5530.0,160.74673904,30225,24576,-0.5102299261838198,0.13186967372894287,137,8181.418664550782,-0.002242603897320805,0.0007069841,2931.750244140625,0.0001,0.00771484375,0.2
11.99,13,16,0,5602.0,164.09494626,32738,26624,-0.5014554528519511,0.06358253955841064,142,8087.830950927734,-0.001881879533175379,0.0012129504,2916.755615234375,0.0001,0.0078125,0.2
