rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,custom/current_screen,custom/max_height,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/loss,train/clip_fraction,train/approx_kl,train/n_updates,train/explained_variance,train/clip_range,train/learning_rate
89.05086715999998,4389,1,2048,0,7.32,1,282.0,,,,,,,,,,
130.65002758,8851,2,4096,0,6.96,1,282.0,17780.507748413085,-0.9384183717891574,-0.012516902342031243,9514.01953125,0.030615234375,0.004943469,90,0.010292410850524902,0.2,3e-05
130.47428131,13257,3,6144,0,7.08,1,90.0,18505.349197387695,-0.8748443000018596,-0.011411597934784367,9241.3466796875,0.028369140625,0.004454461,100,0.003766179084777832,0.2,3e-05
142.93188426999998,17690,4,8192,0,7.24,1,186.0,18476.647192382814,-0.8220199981704355,-0.011027400914463215,8828.275390625,0.027197265625,0.003179343,110,0.0011689066886901855,0.2,3e-05
147.47402639999999,22056,5,10240,0,7.76,1,186.0,17659.916232299805,-0.7688980303704739,-0.009419897579937242,8328.9580078125,0.0177734375,0.0033058915,120,0.00039893388748168945,0.2,3e-05
159.29359559,26511,6,12288,0,7.62,1,186.0,17692.825735473634,-0.7370225751772523,-0.009926456985704135,8495.56640625,0.02080078125,0.004077613,130,0.0001035928726196289,0.2,3e-05
174.59229607,30924,7,14336,0,7.47,1,186.0,17164.783853149413,-0.6830860279500485,-0.012127446988597513,7795.12744140625,0.0662109375,0.0045259753,140,8.100271224975586e-05,0.2,3e-05
194.89540576,35268,8,16384,0,7.53,1,186.0,17428.519985961913,-0.6609238627366721,-0.0078991671820404,8783.7138671875,0.0029296875,0.0039270637,150,3.516674041748047e-05,0.2,3e-05
188.39124766999998,39694,9,18432,0,7.79,1,186.0,17031.6333984375,-0.6272952091880143,-0.006177995701727923,8569.1630859375,0.007421875,0.0022549732,160,8.881092071533203e-06,0.2,3e-05
181.73304076,44048,10,20480,0,7.49,1,186.0,16363.161004638672,-0.5957270984537899,-0.008490791646181606,8023.8408203125,0.00966796875,0.004050352,170,5.304813385009766e-06,0.2,3e-05
