rollout/ep_rew_mean,custom/max_height,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,custom/current_screen,train/loss,train/entropy_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/explained_variance
-27.42288635,90.0,5.26,1,2793,2048,0,1,,,,,,,,,,
-13.532495239999998,306.0,5.72,2,5581,4096,0,1,6215.501953125,-1.299880564212799,0.2015625,10363.43544921875,0.0003,1,-0.017896726680919527,0.2,0.015030873,-0.0014755725860595703
42.670448240000006,90.0,5.88,3,8473,6144,0,1,6467.13134765625,-1.271269103884697,0.177734375,12479.485357666015,0.0003,6,-0.023696797277079896,0.2,0.012407369,0.010427117347717285
46.53169841999999,90.0,6.13,4,11370,8192,0,1,7179.76513671875,-1.2100696377456188,0.10654296875,15335.457122802734,0.0003,11,-0.02426073297392577,0.2,0.009068556,0.062299907207489014
72.7345054,90.0,6.24,5,14251,10240,0,1,6817.74267578125,-1.1514326356351376,0.084765625,15571.124560546876,0.0003,16,-0.01919826889061369,0.2,0.008518054,0.07027429342269897
76.95554033,282.0,6.16,6,17039,12288,0,1,7977.6669921875,-1.106322882324457,0.08544921875,16667.171350097655,0.0003,21,-0.02037279646610841,0.2,0.010094522,0.07775932550430298
99.69465081,90.0,6.23,7,19835,14336,0,1,7049.484375,-1.0095825601369142,0.10380859375,16049.423413085937,0.0003,26,-0.02341509803663939,0.2,0.0096561145,0.07001781463623047
126.11280604999997,306.0,6.27,8,22639,16384,0,1,8281.6103515625,-0.9344737686216831,0.0517578125,16327.631451416015,0.0003,31,-0.016047007689485325,0.2,0.007846428,0.07970607280731201
165.26620381,186.0,6.58,9,25446,18432,0,1,7574.15625,-0.8910790000643048,0.04397321428571429,15853.671651785715,0.0003,34,-0.0054080603910343986,0.2,0.014078478,0.062333762645721436
162.36957491,186.0,6.39,10,28220,20480,0,1,6620.0419921875,-0.8324461784213781,0.0578125,13897.409002685547,0.0003,39,-0.013794573256745934,0.2,0.0073553654,0.05131638050079346
