custom/max_height,time/time_elapsed,time/iterations,rollout/ep_rew_mean,custom/current_screen,time/fps,rollout/ep_len_mean,time/total_timesteps,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/loss,train/value_loss,train/entropy_loss,train/approx_kl,train/learning_rate,train/n_updates
-158.0,67,1,12.45,0,0,4.846153846153846,64,,,,,,,,,,
-14.0,131,2,12.332608695652173,0,0,5.304347826086956,128,-0.014291343465447425,-0.004278063774108887,0.2,0.0,551.8279418945312,1112.9632690429687,-2.7723217248916625,0.0010365611,0.0003,10
-302.0,196,3,7.206666666666664,0,0,6.4,192,-0.00767799187451601,-0.0037604570388793945,0.2,0.0,505.4168701171875,1016.7577270507812,-2.7708729982376097,0.000996979,0.0003,20
-158.0,260,4,7.805555555555555,0,0,6.944444444444445,256,-0.014816401340067387,-2.7988412380218506,0.2,0.0,1.0133106708526611,2.5503119945526125,-2.770074987411499,0.0022545177,0.0003,30
-158.0,323,5,7.505681818181818,0,0,7.2272727272727275,320,2.2036582231521605e-05,-0.003983616828918457,0.2,0.0,304.01458740234375,609.2800170898438,-2.767794871330261,0.0017012199,0.0003,40
-302.0,386,6,7.272222222222221,0,0,7.037037037037037,384,-0.0045207696035504345,0.004764735698699951,0.2,0.0,226.47634887695312,459.39048767089844,-2.7659921169281008,0.00042634644,0.0003,50
-302.0,450,7,6.535245901639344,0,0,7.278688524590164,448,-0.005928629636764526,0.012252271175384521,0.2,0.0,393.0579528808594,790.3421752929687,-2.7650057077407837,0.00049689226,0.0003,60
-158.0,508,8,6.393382352941177,0,1,7.470588235294118,512,-0.01806702943285927,-0.004904031753540039,0.2,0.0,79.7384262084961,159.97566680908204,-2.7609833478927612,0.0025509652,0.0003,70
-158.0,574,9,6.665584415584416,0,1,7.402597402597403,576,-0.015075458586215973,-0.0004906654357910156,0.2,0.0,45.73048400878906,91.99726486206055,-2.754226279258728,0.004287268,0.0003,80
-302.0,633,10,6.122352941176471,0,1,7.4941176470588236,640,-0.00941716730594635,0.016456961631774902,0.2,0.0,330.55975341796875,663.9411987304687,-2.749117302894592,0.0018980065,0.0003,90
-302.0,693,11,5.889673913043476,0,1,7.576086956521739,704,-0.010594113357365131,0.011405706405639648,0.2,0.0,192.86289978027344,389.89568481445315,-2.734266996383667,0.001774664,0.0003,100
-158.0,755,12,5.821717171717171,0,1,7.747474747474747,768,-0.010980370454490185,0.02401953935623169,0.2,0.0,66.63613891601562,134.61259765625,-2.7243886232376098,0.0018420639,0.0003,110
-302.0,821,13,4.880500000000001,0,1,7.92,832,-0.003391985967755318,0.041592299938201904,0.2,0.0,76.0784912109375,153.6729995727539,-2.7169918060302733,0.0010240739,0.0003,120
-302.0,887,14,4.859500000000001,0,1,8.08,896,-0.008996495977044106,0.004976093769073486,0.2,0.0,245.7798614501953,494.5229553222656,-2.70015230178833,0.0010306034,0.0003,130
-302.0,951,15,3.9584999999999995,0,1,8.32,960,-0.003924277098849416,0.022939205169677734,0.2,0.0,218.7751922607422,439.2983428955078,-2.6776687622070314,0.0009478079,0.0003,140
-158.0,1015,16,4.691,0,1,8.18,1024,-0.00460476353764534,0.031797945499420166,0.2,0.0,197.5262908935547,397.9590362548828,-2.6781431913375853,0.00081950705,0.0003,150
-302.0,1081,17,4.672,0,1,8.14,1088,-0.0056549482978880405,0.07339054346084595,0.2,0.0,47.84707260131836,96.40404357910157,-2.6796006679534914,0.0005528284,0.0003,160
-302.0,1142,18,3.5060000000000002,0,1,8.16,1152,-0.007858814159408211,0.06221628189086914,0.2,0.0,97.61181640625,196.24258270263672,-2.668618631362915,0.0010579163,0.0003,170
-302.0,1206,19,3.7815,0,1,8.39,1216,-0.0022472250275313854,0.03861808776855469,0.2,0.0,140.75730895996094,283.7261566162109,-2.6675389766693116,0.0004254477,0.0003,180
-302.0,1269,20,4.071000000000001,0,1,8.38,1280,-0.0016452182084321977,0.019197165966033936,0.2,0.0,268.783447265625,539.2228088378906,-2.641742706298828,0.00018861238,0.0003,190
-158.0,1334,21,4.206,0,1,8.31,1344,-0.005396937020123005,0.014155983924865723,0.2,0.0,132.9959716796875,266.4899932861328,-2.6309532642364504,0.0004576184,0.0003,200
-14.0,1396,22,4.571999999999999,0,1,8.15,1408,-0.001937626674771309,0.05261528491973877,0.2,0.0,129.09832763671875,260.5059417724609,-2.6607949256896974,0.00042557158,0.0003,210
-158.0,1456,23,4.724499999999999,0,1,8.14,1472,-0.01006266549229622,0.026080608367919922,0.2,0.0,288.604248046875,580.7938659667968,-2.672391581535339,0.00075880345,0.0003,220
-302.0,1520,24,5.0219999999999985,0,1,8.06,1536,-0.011179615557193757,0.061569392681121826,0.2,0.0,167.56613159179688,336.5671081542969,-2.6366583108901978,0.0020525074,0.0003,230
-14.0,1582,25,5.4815000000000005,0,1,8.05,1600,-0.005313047301024198,0.032964885234832764,0.2,0.0,360.53973388671875,726.2880615234375,-2.602098250389099,0.0020774007,0.0003,240
-158.0,1647,26,5.654,0,1,7.88,1664,-0.003883097693324089,0.08124494552612305,0.2,0.0,243.21047973632812,490.1918121337891,-2.6171673774719237,0.00039810594,0.0003,250
-302.0,1715,27,5.07,0,1,7.89,1728,-0.007707681239116937,0.06338220834732056,0.2,0.0,253.556396484375,509.1474639892578,-2.583900046348572,0.0009441646,0.0003,260
-302.0,1781,28,5.230500000000001,0,1,7.86,1792,-0.01748204156756401,0.12574690580368042,0.2,0.0140625,139.1383514404297,282.8106689453125,-2.5666112661361695,0.007230591,0.0003,270
-158.0,1845,29,5.831999999999998,0,1,7.78,1856,-0.04639167627319694,0.07922762632369995,0.2,0.1375,72.71698760986328,147.01221771240233,-2.5900851249694825,0.021704521,0.0003,280
-158.0,1907,30,5.999499999999999,0,1,7.79,1920,-0.004421420767903328,0.12259584665298462,0.2,0.0,431.1564025878906,866.5401977539062,-2.6104596138000487,0.0037225652,0.0003,290
-158.0,1971,31,5.398,0,1,7.84,1984,-0.005614214297384024,0.08589363098144531,0.2,0.0,204.07212829589844,410.8873016357422,-2.6128474950790403,0.00084621646,0.0003,300
-302.0,2034,32,5.253000000000001,0,1,7.83,2048,-0.0027260017581284047,0.029628098011016846,0.2,0.0,126.35225677490234,253.7375701904297,-2.5726930618286135,0.00027946383,0.0003,310
