rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,custom/max_height,time/time_elapsed,time/iterations,custom/current_screen,time/total_timesteps,train/approx_kl,train/explained_variance,train/value_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/learning_rate
103.78115835,9.22,0,5154.0,1036,1,15,1024,,,,,,,,,,
108.57252475000001,9.59,0,5114.0,2083,2,15,2048,0.0039533647,0.0023465752601623535,23792.931298828124,0.037109375,0.2,-0.009293901536148041,-0.5579958401620388,11660.85546875,78,0.0001
141.72628793,10.31,0,5330.0,3100,3,15,3072,0.0036261766,0.0014592409133911133,22666.441748046876,0.0283203125,0.2,-0.0071147283655591306,-0.5651952464133501,10804.57421875,83,0.0001
94.08948595000001,9.97,0,5114.0,4147,4,15,4096,0.0076311342,0.00019186735153198242,21101.745202636717,0.073828125,0.2,-0.012695032136980445,-0.561785563081503,9668.7158203125,88,0.0001
128.47772174000002,9.99,0,5154.0,5187,5,15,5120,0.0049313116,0.0005030035972595215,22483.135180664063,0.044140625,0.2,-0.009278058726340532,-0.5581639036536217,11868.6259765625,93,0.0001
131.16566963000002,9.77,0,5114.0,6236,6,15,6144,0.006594165,0.0003504753112792969,20552.845080566407,0.04609375,0.2,-0.010480336181353777,-0.5447129495441914,11935.595703125,98,0.0001
146.71286833,9.91,0,5114.0,7254,7,15,7168,0.0047855787,0.0003744959831237793,19121.178454589844,0.0392578125,0.2,-0.007534174912143499,-0.5305782910436392,9937.5263671875,103,0.0001
109.12206302000003,9.83,0,5138.0,8310,8,15,8192,0.0027080271,8.96453857421875e-05,20777.20184326172,0.0302734375,0.2,-0.008216945000458508,-0.49423216879367826,11016.873046875,108,0.0001
142.700309,10.02,0,5154.0,9361,9,15,9216,0.011281076,0.00012427568435668945,20921.083814538044,0.02377717391304348,0.2,-0.0014544314421389413,-0.48376099441362463,10145.0185546875,110,0.0001
137.69188291999998,9.48,0,5154.0,10411,10,15,10240,0.008172475,0.00018030405044555664,19276.793835449218,0.044921875,0.2,-0.008068140514660626,-0.47525884620845316,9492.6455078125,115,0.0001
156.17836557,9.9,0,5250.0,11439,11,15,11264,0.0046406537,0.0004641413688659668,19450.575329589843,0.0388671875,0.2,-0.005432107788510621,-0.4501404568552971,7781.17138671875,120,0.0001
141.92011884000001,9.65,0,5154.0,12470,12,15,12288,0.0057009794,0.00024396181106567383,17565.47218017578,0.05,0.2,-0.011085860361345113,-0.4699595522135496,10682.0146484375,125,0.0001
179.27551549999995,9.8,0,5330.0,13505,13,15,13312,0.004744773,0.0001462697982788086,17971.336779785157,0.0291015625,0.2,-0.007301095826551318,-0.4560392085462809,10941.658203125,130,0.0001
184.71420829,9.94,0,5250.0,14524,14,15,14336,0.001536852,0.0002346634864807129,15604.07568359375,0.0146484375,0.2,-0.006979156553279608,-0.43492501936852934,5604.49267578125,135,0.0001
156.30107931999999,9.79,0,5154.0,15569,15,15,15360,0.0074010035,0.0001328587532043457,15092.915368652344,0.03046875,0.2,-0.003969768265960738,-0.42768591865897176,5835.42724609375,140,0.0001
184.80048852,10.14,0,5330.0,16588,16,15,16384,0.0058980566,0.0001087188720703125,17007.906774902345,0.08125,0.2,-0.010788895061705262,-0.424263034760952,10516.720703125,145,0.0001
146.64529057000001,9.43,0,5250.0,17649,17,15,17408,0.0065215547,0.00021535158157348633,14644.49569091797,0.0421875,0.2,-0.009247861649055267,-0.4167011931538582,5945.46728515625,150,0.0001
155.73300355,9.49,0,5114.0,18691,18,15,18432,0.019274445,6.985664367675781e-05,16714.585777698863,0.05909090909090909,0.2,-0.010119409012523565,-0.4001448008147153,7888.14697265625,154,0.0001
129.04319849,9.09,0,5138.0,19785,19,15,19456,0.004162494,0.00017529726028442383,17026.37303466797,0.0359375,0.2,-0.0063934257254004475,-0.387958550080657,8891.9169921875,159,0.0001
160.00014726,9.51,0,5138.0,20807,20,15,20480,0.005236876,0.0009349584579467773,17655.314233398436,0.0599609375,0.2,-0.007812195247970522,-0.4166192289441824,8785.29296875,164,0.0001
185.50606155999995,10.11,0,5138.0,21826,21,15,21504,0.01324433,0.0013265609741210938,14658.891022858796,0.04224537037037037,0.2,-0.004753476112253136,-0.40446281212347523,6184.83447265625,166,0.0001
145.87256905,9.52,0,5154.0,22896,22,15,22528,0.035786893,0.0013048052787780762,13601.515775240385,0.065625,0.2,-0.007800558761048775,-0.41505894660949705,6032.54248046875,171,0.0001
170.64793125,9.85,0,5250.0,23935,23,15,23552,0.011470899,0.0004462599754333496,16386.586560058593,0.0486328125,0.2,-0.008732484315987676,-0.41720272563397887,4923.31103515625,176,0.0001
160.84566906,9.35,0,5154.0,24980,24,15,24576,0.0026508996,7.617473602294922e-05,13982.501147460938,0.025,0.2,-0.0012951201933901757,-0.41086513437330724,5572.7763671875,181,0.0001
147.43901035000002,10.22,0,5154.0,26034,25,15,25600,0.0070329704,0.00016731023788452148,13630.064515458776,0.02992021276595745,0.2,-0.004891586182837157,-0.41992150659256794,7256.91796875,184,0.0001
165.08994336999996,10.26,0,5154.0,27103,26,15,26624,0.023777217,3.129243850708008e-05,15921.917873008579,0.061274509803921566,0.2,-0.012866945864230978,-0.40734703634299485,10399.54296875,188,0.0001
179.19278738999995,10.32,0,5138.0,28142,27,15,27648,0.0057669464,8.13603401184082e-05,14030.86435546875,0.0634765625,0.2,-0.007810301787685603,-0.41455853283405303,6862.9072265625,193,0.0001
160.29357192999998,9.62,0,5154.0,29169,28,15,28672,0.013406063,8.207559585571289e-05,11230.632430639022,0.07572115384615384,0.2,-0.010160444889408655,-0.4169742258695456,4691.640625,198,0.0001
160.56604191,9.97,0,5114.0,30203,29,15,29696,0.002874467,0.00011658668518066406,13184.292102050782,0.030859375,0.2,-0.008256222470663488,-0.40406066961586473,7079.734375,203,0.0001
165.46246849000002,9.53,0,5154.0,31235,30,15,30720,0.014903312,6.431341171264648e-05,13896.60054347826,0.058423913043478264,0.2,-0.010407234191138676,-0.39776078082513117,6379.29541015625,208,0.0001
145.8986474,9.72,0,5154.0,32263,31,15,31744,0.005913643,7.873773574829102e-05,12468.889166259765,0.0505859375,0.2,-0.0095478409784846,-0.40966314151883126,5885.43798828125,213,0.0001
150.99278649,10.04,0,5154.0,33316,32,15,32768,0.004301,5.364418029785156e-05,13963.368915264424,0.037259615384615384,0.2,-0.0025490459341269275,-0.41329384308594924,3856.965576171875,214,0.0001
179.89287824999997,10.35,0,5330.0,34369,33,15,33792,0.012015497,9.936094284057617e-05,14451.439965820313,0.07578125,0.2,-0.006204058742150664,-0.40585047788918016,6023.9833984375,219,0.0001
174.49638059,10.62,0,5250.0,35407,34,15,34816,0.005480978,0.00012546777725219727,9608.930725097656,0.0427734375,0.2,-0.007060792506672442,-0.4314366154372692,4331.78564453125,224,0.0001
155.66945317000003,10.2,0,5154.0,36442,35,15,35840,0.004353373,3.075599670410156e-05,12852.207641601562,0.01953125,0.2,0.008946430694777519,-0.44324951618909836,7847.3837890625,225,0.0001
174.48469902999997,10.28,0,5330.0,37486,36,15,36864,0.030464148,3.075599670410156e-05,13915.152358546402,0.07102272727272728,0.2,0.0017866167437398071,-0.4274601231921803,8014.8056640625,228,0.0001
174.21494505999996,10.62,0,5154.0,38493,37,15,37888,0.004190794,6.341934204101562e-05,10669.852496337891,0.0525390625,0.2,-0.005460103345103562,-0.4369872368872166,4567.2705078125,233,0.0001
161.74993584,10.2,0,5250.0,39498,38,15,38912,0.007965044,2.8192996978759766e-05,12189.587646484375,0.0923828125,0.2,-0.011022201227024197,-0.4277434632182121,8337.4619140625,238,0.0001
193.28138013,10.44,0,5330.0,40510,39,15,39936,0.030615449,2.6404857635498047e-05,14294.318301930147,0.043198529411764705,0.2,-0.0009816748035304686,-0.4114296751863816,6038.96728515625,240,0.0001
193.86805098999997,10.13,0,5114.0,41515,40,15,40960,0.009518755,6.300210952758789e-05,9052.725115966798,0.0576171875,0.2,-0.0042543535120785235,-0.4037508934736252,2940.06103515625,245,0.0001
179.3167836,9.87,0,5154.0,42540,41,15,41984,0.0064814817,4.7147274017333984e-05,8883.90492553711,0.0931640625,0.2,-0.011264225584454834,-0.40165012925863264,2991.649658203125,250,0.0001
175.23364679999995,9.98,0,5250.0,43537,42,15,43008,0.0039882422,9.775161743164062e-06,10177.73012084961,0.0189453125,0.2,-0.0013410632382147014,-0.3955155897885561,3897.72802734375,255,0.0001
183.90778592999996,9.96,0,5154.0,44547,43,15,44032,0.013851886,2.2292137145996094e-05,10400.343483664772,0.028409090909090908,0.2,-0.003771295263008638,-0.40992923080921173,5407.2138671875,257,0.0001
202.86627296999998,10.53,0,5330.0,45557,44,15,45056,0.01689094,7.015466690063477e-05,9324.40976324314,0.04535060975609756,0.2,-0.002155013382434845,-0.407822500641753,2099.42529296875,260,0.0001
203.35467855,10.43,0,5114.0,46615,45,15,46080,0.006721168,3.159046173095703e-05,7468.153820800781,0.04140625,0.2,-0.006286240299232304,-0.3861650303006172,2629.426513671875,265,0.0001
160.7384096,9.61,0,5114.0,47669,46,15,47104,0.006946126,1.2755393981933594e-05,6956.766439819336,0.033984375,0.2,-0.006393444153945893,-0.3729357585310936,3959.84423828125,270,0.0001
203.45392808999998,10.45,0,5114.0,48690,47,15,48128,0.009090346,1.6808509826660156e-05,10855.687744140625,0.09817708333333333,0.2,-0.003935122583061457,-0.3770013389488061,5510.177734375,274,0.0001
203.57776298999997,10.14,0,5330.0,49696,48,15,49152,0.01947855,4.690885543823242e-05,7145.253619025735,0.04917279411764706,0.2,-0.002287682344424812,-0.3950291582766701,2764.0185546875,277,0.0001
170.28674162999997,10.06,0,5138.0,50706,49,15,50176,0.006490007,9.733438491821289e-05,6837.066485595703,0.055078125,0.2,-0.005309518327703699,-0.39598747454583644,2416.33154296875,282,0.0001
183.82518748,10.14,0,5330.0,51730,50,15,51200,0.018626679,1.71661376953125e-05,10925.74729886968,0.14860372340425532,0.2,-0.006297393642524456,-0.4079272150993347,4119.0703125,285,0.0001
197.75977198,11.21,0,5114.0,52767,51,15,52224,0.006024627,4.6193599700927734e-05,8138.42541809082,0.0388671875,0.2,-0.004316852340707555,-0.4203382398933172,4345.75732421875,290,0.0001
203.09290252,10.66,0,5330.0,53766,52,15,53248,0.008957245,3.2067298889160156e-05,5886.70433959961,0.09765625,0.2,-0.009260034974431619,-0.4477280404418707,2604.010986328125,295,0.0001
189.76943039999995,11.17,0,5154.0,54802,53,15,54272,0.008932873,2.8073787689208984e-05,5753.792396282328,0.04202586206896552,0.2,0.0026745680430582887,-0.4436080065266839,1475.7222900390625,297,0.0001
