time/fps,time/iterations,custom/current_screen,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,custom/max_height,train/learning_rate,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_range,train/n_updates,train/policy_gradient_loss
1,1,13,75.80291783000001,2048,2022,6.31,4570.0,,,,,,,,,,
1,2,13,116.26000384000002,4096,3951,6.8,4442.0,0.0001,12159.3984375,0.0373046875,25076.394494628905,0.0054201176,0.003354668617248535,-0.7942638125270605,0.2,18,-0.016197984910104424
1,3,13,91.22811017000002,6144,5865,7.38,4570.0,0.0001,9498.3525390625,0.04951171875,22072.406286621095,0.0054357336,0.0014320015907287598,-0.7473756916821003,0.2,23,-0.017881930051953532
1,4,13,136.18612418000004,8192,7720,7.33,4442.0,0.0001,10622.41015625,0.04365234375,21659.80009765625,0.0045227436,0.0003952980041503906,-0.7316085055470467,0.2,28,-0.01438856027671136
1,5,13,170.75788664,10240,9491,8.3,4442.0,0.0001,10158.353515625,0.03505859375,19789.279528808594,0.004410282,0.0003725886344909668,-0.7049809113144875,0.2,33,-0.012643768987618386
1,6,13,157.16671193,12288,11419,7.18,4442.0,0.0001,9177.0595703125,0.0734375,19187.532312011717,0.0045269458,0.00014221668243408203,-0.6983121559023857,0.2,38,-0.013837427526596002
1,7,13,169.815178,14336,13254,7.93,4506.0,0.0001,9621.32421875,0.0330078125,19458.20509033203,0.0031111226,0.00020754337310791016,-0.6533413127064704,0.2,43,-0.011204677043133415
1,8,13,172.86978591,16384,15092,7.85,4570.0,0.0001,8550.5810546875,0.02216796875,17498.408764648437,0.0045807664,0.00014728307723999023,-0.6266337420791388,0.2,48,-0.008035573153756559
1,9,13,199.41395518000002,18432,16892,8.18,4570.0,0.0001,8537.994140625,0.016813858695652172,17170.73474651834,0.0047079795,0.00010311603546142578,-0.6092323706201885,0.2,51,-0.005493092998538328
1,10,13,191.19582979999996,20480,18696,8.0,4442.0,0.0001,7649.18603515625,0.006804435483870968,15463.517105594758,0.00705387,0.00020229816436767578,-0.592656530680195,0.2,53,-0.00014925371074388103
1,11,13,175.25988160999998,22528,20559,7.66,4442.0,0.0001,7302.35107421875,0.019921875,15328.630877685548,0.0036046621,0.00014537572860717773,-0.5641519151628017,0.2,58,-0.006877857289509848
1,12,13,176.66967339999997,24576,22417,7.75,4570.0,0.0001,7013.4638671875,0.014453125,15265.894665527343,0.0019400592,0.00010383129119873047,-0.5312006050720811,0.2,63,-0.007317702546424698
1,13,13,208.31759258999998,26624,24242,8.07,4610.0,0.0001,7291.92724609375,0.0154296875,14613.107977294922,0.0014953741,6.663799285888672e-05,-0.5339579604566097,0.2,68,-0.004108948621433228
1,14,13,165.22967094,28672,26180,6.98,4442.0,0.0001,6200.630859375,0.005642361111111111,13223.439127604166,0.044862907,8.291006088256836e-05,-0.5293974131345749,0.2,70,-0.0012369089915106695
1,15,13,170.76114670999996,30720,28091,7.15,4442.0,0.0001,8039.990234375,0.009548611111111112,14790.307508680555,0.0048995,6.818771362304688e-05,-0.5360882017347548,0.2,71,0.005355806193417973
1,16,13,200.25384076999995,32768,29935,7.74,4610.0,0.0001,7796.0830078125,0.015046296296296295,14371.167209201389,0.0036570223,5.501508712768555e-05,-0.5235090288850996,0.2,72,-0.002189104065850929
1,17,13,192.01060848999995,34816,31801,7.87,4610.0,0.0001,6500.91796875,0.03125,13440.109071928879,0.005515387,5.173683166503906e-05,-0.5337631599656467,0.2,73,0.004161931991834065
1,18,13,126.54317889000004,36864,33835,6.67,4442.0,0.0001,6420.09521484375,0.025135869565217392,13162.046280570652,0.006331507,6.324052810668945e-05,-0.5299451791721842,0.2,74,0.0007552048798812473
1,19,13,158.03166376000001,38912,35780,7.22,4442.0,0.0001,8399.3251953125,0.020089285714285716,16507.897600446428,0.024297029,9.834766387939453e-06,-0.5216155307633537,0.2,75,0.0030166025140455793
1,20,13,178.97137803,40960,37673,7.5,4442.0,0.0001,8521.1630859375,0.003125,15724.3369140625,0.008340519,2.7477741241455078e-05,-0.5175731897354126,0.2,76,-0.0025264883413910868
1,21,13,182.68854107999994,43008,39485,7.75,4442.0,0.0001,6960.49072265625,0.04836309523809524,14523.06798735119,0.006674474,3.743171691894531e-05,-0.52513435341063,0.2,77,-0.004549752433030378
1,22,13,201.18706061999998,45056,41374,7.59,4570.0,0.0001,6214.30615234375,0.07977552816901408,12248.609911421654,0.017707372,7.975101470947266e-05,-0.5008618804350705,0.2,82,-0.011847213707523237
1,23,13,200.65716301,47104,43291,7.46,4570.0,0.0001,5903.287109375,0.015625,13275.926171875,0.027133727,2.8312206268310547e-05,-0.47880059480667114,0.2,83,0.0131727896630764
1,24,13,186.95458002000004,49152,45180,7.51,4442.0,0.0001,7000.943359375,0.013392857142857142,12878.705775669643,0.007428717,7.241964340209961e-05,-0.4849062306540353,0.2,84,-0.002032708376646042
1,25,13,204.71212401999998,51200,47038,7.74,4442.0,0.0001,7397.533203125,0.006696428571428571,13034.8681640625,0.0084562395,4.4465065002441406e-05,-0.489073959844453,0.2,85,0.0021468691660889556
