rollout/ep_len_mean,time/iterations,time/time_elapsed,custom/current_screen,custom/max_height,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/explained_variance,train/loss,train/value_loss,train/approx_kl,train/n_updates,train/learning_rate
15.25,11,10214,4,1226.0,149.40182716,1,11264,-0.009148940956220031,0.2,-0.7110554419457913,0.080859375,4.279613494873047e-05,6749.90771484375,13273.761975097656,0.010549765,46,0.0001
14.81,12,11159,4,1394.0,123.41969947,1,12288,-0.011275540466886013,0.2,-0.7004159793257714,0.094921875,5.14984130859375e-05,5380.43701171875,11910.075317382812,0.01135989,51,0.0001
15.16,13,12116,4,1410.0,150.45407303999997,1,13312,-0.006741387573511977,0.2,-0.6669947975560239,0.07154605263157894,3.1828880310058594e-05,6672.74658203125,12180.316663240132,0.01985514,53,0.0001
15.34,14,13105,4,1226.0,143.66230394999997,1,14336,0.0005745344136937939,0.2,-0.6449140567204048,0.037176724137931036,2.1338462829589844e-05,5200.70556640625,11984.799973060344,0.013165961,57,0.0001
15.02,15,14068,4,1410.0,170.60514995000003,1,15360,-0.004516465961933136,0.2,-0.6476988017559051,0.0328125,1.1980533599853516e-05,5877.337890625,13077.95732421875,0.006939811,58,0.0001
15.0,16,15040,4,1378.0,172.25123376999997,1,16384,-0.0009795150409142176,0.2,-0.6326257665952046,0.042708333333333334,2.5391578674316406e-05,6357.21826171875,12125.305013020834,0.012609143,59,0.0001
14.27,17,16002,4,1306.0,139.97603835,1,17408,-0.0038793799722541683,0.2,-0.6644265374092206,0.05843321917808219,2.765655517578125e-05,5379.39013671875,12196.100840111301,0.014506112,64,0.0001
14.72,18,16968,4,1226.0,176.44501735000006,1,18432,0.012317832869788011,0.2,-0.6616097211837768,0.04375,1.7344951629638672e-05,5969.1044921875,12421.347200520833,0.008061426,65,0.0001
14.59,19,17949,4,1306.0,163.5506122,1,19456,-0.0045860613696277145,0.2,-0.6574620828032494,0.036328125,3.5822391510009766e-05,5202.56640625,11329.182055664063,0.0048023304,70,0.0001
15.04,20,18906,4,1154.0,160.98990604,1,20480,0.005378826352005655,0.2,-0.6647986336187883,0.046875,2.3543834686279297e-05,6350.572265625,12629.465021306818,0.0077632,71,0.0001
16.42,21,19877,4,1378.0,176.39612747000004,1,21504,-0.004098637084312299,0.2,-0.6498896023806404,0.02665441176470588,1.531839370727539e-05,6004.44140625,11661.021369485294,0.10831323,73,0.0001
15.58,22,20812,4,1410.0,199.85519011,1,22528,-0.005716238357126713,0.2,-0.6686463169753551,0.0462890625,2.3484230041503906e-05,4542.24951171875,10241.613464355469,0.0056239455,78,0.0001
15.4,23,21802,4,1394.0,174.33707815999998,1,23552,-0.007026137507243737,0.2,-0.623451334399146,0.04560810810810811,1.7821788787841797e-05,5677.283203125,10555.22975612331,0.015290866,81,0.0001
15.01,24,22749,4,1226.0,167.59300447,1,24576,0.00672623614913651,0.2,-0.6626587212085724,0.05580357142857143,1.2278556823730469e-05,6345.87158203125,11658.28724888393,0.015773771,83,0.0001
15.47,25,23707,4,1226.0,172.62257872,1,25600,-0.010764256038237363,0.2,-0.6456942483782768,0.1091796875,3.629922866821289e-05,4645.7392578125,10235.893591308593,0.010434581,88,0.0001
15.61,26,24683,4,1306.0,170.02390094999998,1,26624,-0.0018351551766196887,0.2,-0.6381934404373169,0.051041666666666666,1.6748905181884766e-05,5223.36865234375,11370.532291666666,0.010310213,89,0.0001
15.09,27,25639,4,1394.0,188.15401369000003,1,27648,0.0020822766510879293,0.2,-0.6425667159697589,0.01838235294117647,1.9609928131103516e-05,5227.28564453125,9890.26619944853,0.04234288,91,0.0001
15.0,28,26609,4,1226.0,190.52501590000003,1,28672,-0.002709534675390883,0.2,-0.6020540554415096,0.05007102272727273,3.629922866821289e-05,4948.24365234375,10028.979270241478,0.013396467,94,0.0001
15.46,29,27584,4,1394.0,187.03731342999998,1,29696,-0.008773633535020054,0.2,-0.5926072180271149,0.0546875,1.1622905731201172e-05,4259.15185546875,10410.865954589844,0.008565381,99,0.0001
15.04,30,28543,4,1410.0,174.9231753,1,30720,-0.002477579578561218,0.2,-0.6327443175148546,0.07510964912280702,6.377696990966797e-06,5168.47314453125,9610.086391515899,0.023189746,103,0.0001
15.77,31,29522,4,1394.0,147.93783691,1,31744,0.0020433497664175534,0.2,-0.6362588782059518,0.03125,1.0788440704345703e-05,6551.6806640625,11262.091848273027,0.014322407,105,0.0001
14.89,32,30497,4,1306.0,147.44367293999997,1,32768,0.001987550075032881,0.2,-0.6343052770410266,0.04017857142857143,1.239776611328125e-05,4923.552734375,11417.40625,0.009481973,106,0.0001
14.24,33,31478,4,1410.0,138.16222274999998,1,33792,0.018002273328602315,0.2,-0.6080969274044037,0.0171875,6.318092346191406e-06,7440.97119140625,12427.88095703125,0.007946452,107,0.0001
13.86,34,32470,4,1306.0,147.51666780000002,1,34816,-0.004223412135615945,0.2,-0.5855206126968066,0.07552083333333333,2.205371856689453e-06,5347.50537109375,13195.918701171875,0.018436346,109,0.0001
14.24,35,33463,4,1306.0,156.09191371,1,35840,-0.0020471838424387183,0.2,-0.5849350353945857,0.034646739130434784,9.298324584960938e-06,5419.86279296875,12049.104237432066,0.023859443,111,0.0001
13.72,36,34459,4,1410.0,137.10232357,1,36864,-0.00569707829011034,0.2,-0.590460298012714,0.05963010204081633,7.987022399902344e-06,5251.57470703125,11426.074378188776,0.03072558,115,0.0001
