time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,custom/current_screen,time/iterations,rollout/ep_rew_mean,custom/max_height,train/clip_range,train/clip_fraction,train/n_updates,train/approx_kl,train/entropy_loss,train/loss,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/explained_variance
0,1048,1024,9.63,15,1,136.51825677000002,5154.0,,,,,,,,,,
0,2084,2048,9.67,15,2,139.00146225000003,5330.0,0.2,0.080078125,5,0.006201707,-0.5501803945749998,11603.2177734375,23676.309692382812,-0.01876538061769679,0.0001,-0.0005161762237548828
