time/fps,custom/max_height,custom/current_screen,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/n_updates,train/explained_variance,train/clip_range,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/loss
0,12714.0,36,2874,-1.8873358500000026,2048,1,7.65,,,,,,,,,,
0,12658.0,36,5568,76.94693443,4096,2,8.9,5,5.53131103515625e-05,0.2,53604.193676757815,0.0001,-1.0142029214650392,0.0927734375,0.010653814,-0.02081996893393807,24567.583984375
0,12882.0,36,8224,76.93485135,6144,3,9.3,10,0.004309713840484619,0.2,52576.52055664062,0.0001,-0.9952829137444497,0.08603515625,0.010312475,-0.017316641082288697,24704.951171875
0,12882.0,36,10601,180.24739787000001,8192,4,9.74,15,0.001330256462097168,0.2,48814.388403320314,0.0001,-0.9811601866036653,0.0794921875,0.00808066,-0.015159562751068733,28443.9765625
0,12786.0,36,13051,162.35744025,10240,5,9.4,20,0.0015380382537841797,0.2,57128.30161132813,0.0001,-0.928357557952404,0.0546875,0.00849866,-0.012744071209453978,30152.744140625
0,12890.0,36,15446,200.60985696000006,12288,6,10.17,25,0.0009142756462097168,0.2,59998.54165039062,0.0001,-0.9204899664968252,0.07294921875,0.007600801,-0.015582450540387071,28322.447265625
0,12786.0,36,17688,200.75690290999998,14336,7,10.63,30,0.0001500844955444336,0.2,60757.956860351565,0.0001,-0.9046465530991554,0.04287109375,0.005381521,-0.010017699253512546,29646.716796875
0,12786.0,36,19750,290.23868554,16384,8,12.09,35,-3.2186508178710938e-06,0.2,57148.898046875,0.0001,-0.8899058282375336,0.0294921875,0.0042285006,-0.00875292997516226,25436.287109375
0,12786.0,36,22014,265.72441481000004,18432,9,10.65,40,0.0005701780319213867,0.2,59646.10385742188,0.0001,-0.8891417779028415,0.0486328125,0.0052622133,-0.010403748558019288,31514.91796875
0,12722.0,36,24162,300.58013256,20480,10,12.96,45,0.0007719993591308594,0.2,62945.51220703125,0.0001,-0.8714096263051033,0.03896484375,0.0040994505,-0.009413325232162605,35872.203125
0,12786.0,36,26380,305.51280827999994,22528,11,11.83,50,0.002636730670928955,0.2,53234.00180664063,0.0001,-0.8720049645751715,0.03046875,0.0036132745,-0.006854812882374972,24533.19140625
0,12882.0,36,28487,318.06690909,24576,12,12.32,55,0.0016512274742126465,0.2,58967.46723632813,0.0001,-0.8523723479360342,0.03779296875,0.0057654614,-0.011696499929530545,28363.970703125
0,12722.0,36,30674,242.85537921000002,26624,13,10.89,60,0.0011838078498840332,0.2,55426.90920410156,0.0001,-0.8449111804366112,0.0396484375,0.0052410057,-0.00738488273054827,29697.54296875
0,12890.0,36,32858,321.64126362999997,28672,14,11.91,65,0.000917971134185791,0.2,57583.30720214844,0.0001,-0.8268512416630983,0.0384765625,0.0061245626,-0.01124876327230595,28325.876953125
0,12722.0,36,34990,392.78094057000004,30720,15,12.72,70,0.0005571246147155762,0.2,56578.82358398438,0.0001,-0.8178574487566947,0.04013671875,0.0054629743,-0.009672161840717309,28270.65234375
0,12882.0,36,37012,362.96175251,32768,16,12.31,75,0.0001570582389831543,0.2,56414.258032226564,0.0001,-0.8078627496957779,0.08486328125,0.006816755,-0.012608943262603135,28763.0234375
0,12658.0,36,39112,353.95272712999997,34816,17,12.02,80,0.002023160457611084,0.2,55138.658520507815,0.0001,-0.8008593656122684,0.02919921875,0.0041170567,-0.007372972852317616,22971.376953125
0,12714.0,36,41124,333.96418317999996,36864,18,12.22,85,0.0009115338325500488,0.2,54989.93010253906,0.0001,-0.7858852379024028,0.02451171875,0.0037468108,-0.005416893941583112,29694.673828125
0,12786.0,36,43173,422.3302850600001,38912,19,13.26,90,0.0021548867225646973,0.2,54763.038330078125,0.0001,-0.7717711798846721,0.03818359375,0.0051283585,-0.009516743925632908,23969.505859375
0,12786.0,36,45251,367.4406381499999,40960,20,11.7,95,0.0010409355163574219,0.2,53667.49377441406,0.0001,-0.7736470408737659,0.03681640625,0.00499433,-0.004564388151629828,24293.58203125
0,12658.0,36,47414,355.3526396700001,43008,21,12.32,100,0.002417266368865967,0.2,54687.189672851564,0.0001,-0.7758093506097794,0.03671875,0.004056235,-0.009683177268016152,27325.513671875
0,12882.0,36,49523,403.35320969,45056,22,14.02,105,0.0014664530754089355,0.2,54169.6994140625,0.0001,-0.770755285769701,0.04033203125,0.004788921,-0.007951118689379654,24718.970703125
0,12786.0,36,51613,450.71959688000004,47104,23,13.69,110,0.0033992528915405273,0.2,49418.8998046875,0.0001,-0.7809432301670313,0.05546875,0.0053244596,-0.009607690025586636,23015.623046875
0,12658.0,36,53764,335.35475343999997,49152,24,12.55,115,0.0011644363403320312,0.2,51041.32749023438,0.0001,-0.7828650247305632,0.02890625,0.0032582148,-0.0039914048044011,23007.9609375
