time/iterations,custom/max_height,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,custom/current_screen,time/total_timesteps,train/approx_kl,train/loss,train/learning_rate,train/entropy_loss,train/value_loss,train/clip_range,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/clip_fraction
11,90.0,17.44,33112,0,-123.68799999999996,1,22528,0.009865369,3398.40185546875,0.0001,-2.676522766053677,7484.567236328125,0.2,-0.02033916241489351,50,-3.635883331298828e-05,0.04599609375
12,186.0,21.89,35967,0,-130.976,1,24576,0.011470661,2745.899658203125,0.0001,-2.6520963057875635,5488.464904785156,0.2,-0.01636700354865752,55,-0.0001163482666015625,0.0537109375
13,186.0,21.2,38690,0,-129.86999999999998,1,26624,0.010170316,2247.298583984375,0.0001,-2.5958133533596994,4928.233187866211,0.2,-0.01847557320143096,60,-4.017353057861328e-05,0.06455078125
14,186.0,25.1,41417,0,-133.54,1,28672,0.008653386,2532.87353515625,0.0001,-2.542458438873291,4406.565037536621,0.2,-0.01657108647050336,65,-6.961822509765625e-05,0.0423828125
15,90.0,33.9,44239,0,-131.86999999999998,1,30720,0.010641068,2458.109375,0.0001,-2.482716108858585,3944.552101135254,0.2,-0.01302617598848883,70,-1.633167266845703e-05,0.04970703125
16,186.0,35.51,47066,0,-132.98399999999995,1,32768,0.010398389,1234.4847412109375,0.0001,-2.4575645446777346,2804.801463317871,0.2,-0.010676660886383615,75,-1.0728836059570312e-05,0.0646484375
17,186.0,39.27,49905,0,-136.16599999999997,1,34816,0.009849656,857.1326293945312,0.0001,-2.4273265272378923,2806.823049926758,0.2,-0.014789573589223438,80,-2.574920654296875e-05,0.0626953125
18,90.0,43.6,52826,0,-136.53199999999998,1,36864,0.01203123,1216.4886474609375,0.0001,-2.418881656229496,2177.214475250244,0.2,-0.013225794123718515,85,-1.71661376953125e-05,0.11083984375
19,90.0,38.45,55451,0,-134.88399999999996,1,38912,0.009546671,1102.8677978515625,0.0001,-2.436096140742302,2317.739247894287,0.2,-0.007116882273112424,90,3.874301910400391e-06,0.05419921875
20,186.0,41.95,58141,0,-135.82199999999997,1,40960,0.008802287,1050.5072021484375,0.0001,-2.416809882223606,2163.5936950683595,0.2,-0.011467154661659151,95,2.9206275939941406e-06,0.0708984375
