time/total_timesteps,custom/current_screen,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,custom/max_height,train/policy_gradient_loss,train/approx_kl,train/loss,train/clip_range,train/entropy_loss,train/explained_variance,train/value_loss,train/n_updates,train/clip_fraction,train/learning_rate
1024,2,0,1039,91.37218924999999,12.05952380952381,1,650.0,,,,,,,,,,
2048,2,0,2220,102.55047603999999,12.47,2,538.0,-0.014260079932864756,0.008939391,6985.2412109375,0.2,-0.7065726839005947,0.00043261051177978516,15881.98828125,5,0.06640625,0.0001
3072,2,0,3407,150.81144906999998,12.46,3,650.0,-0.01573171545751393,0.011488179,7223.25146484375,0.2,-0.6888066567480564,0.00124359130859375,15485.999182128906,10,0.0916015625,0.0001
4096,2,0,4534,122.15763491999998,11.55,4,626.0,-0.012479730590712279,0.0058967685,7884.841796875,0.2,-0.6502134263515472,0.007324635982513428,16520.0990234375,15,0.061328125,0.0001
5120,2,0,5600,143.76169860000002,11.88,5,490.0,-0.01000096508068964,0.005300689,7621.5888671875,0.2,-0.6214742042124272,0.002720355987548828,16116.664428710938,20,0.037890625,0.0001
6144,2,0,6849,153.60039989999999,12.32,6,442.0,-0.006490405939985067,0.003389179,8343.2109375,0.2,-0.5970182932913304,0.002977728843688965,16884.327185058595,25,0.025390625,0.0001
7168,2,0,8123,141.34096867,12.3,7,442.0,-0.0055475626257248225,0.0054830275,8705.5634765625,0.2,-0.6000125043094158,0.00481182336807251,16433.458923339844,30,0.0361328125,0.0001
8192,2,0,9460,148.26488584999998,12.61,8,442.0,-0.012750708358362317,0.0063195946,7746.78125,0.2,-0.5694118499755859,0.004487574100494385,15738.061303710938,35,0.0572265625,0.0001
