time/iterations,time/total_timesteps,custom/current_screen,rollout/ep_rew_mean,rollout/ep_len_mean,custom/max_height,time/time_elapsed,time/fps,train/policy_gradient_loss,train/loss,train/approx_kl,train/explained_variance,train/clip_range,train/n_updates,train/entropy_loss,train/learning_rate,train/value_loss,train/clip_fraction
28,28672,19,227.52215512000004,8.64,6594.0,26053,1,-0.003214363509323448,11138.3017578125,0.0033298486,0.07948428392410278,0.2,151,-0.22026851624250413,0.0001,22006.81494140625,0.0322265625
29,29696,19,227.90926219000002,9.04,6594.0,26992,1,-0.0027267161523923276,11222.3623046875,0.0021577429,0.038143038749694824,0.2,156,-0.23023113328963518,0.0001,21910.649609375,0.0212890625
30,30720,19,254.92272052,8.65,6682.0,27920,1,-0.0026824110695584254,10228.22265625,0.018860256,0.02824544906616211,0.2,158,-0.23394335129044272,0.0001,20889.31427556818,0.020596590909090908
31,31744,19,259.92626872,8.94,6594.0,28841,1,-0.0025974502321332695,9358.880859375,0.0022420492,0.0777667760848999,0.2,163,-0.23206493500620126,0.0001,20231.49755859375,0.0337890625
32,32768,19,245.69772304000003,8.65,6594.0,29759,1,-0.00011371120053809136,9085.958984375,0.004989081,0.0002664923667907715,0.2,168,-0.25681085865944625,0.0001,19443.314404296874,0.033984375
33,33792,19,251.58298171,9.19,6682.0,30691,1,-0.006332636252045632,9830.1796875,0.003246684,0.0003380775451660156,0.2,173,-0.23733228575438262,0.0001,19226.808056640624,0.03515625
34,34816,19,224.06021859,8.61,6682.0,31621,1,-0.0028906025167088957,9752.7353515625,0.0019640918,0.12067407369613647,0.2,178,-0.23645421732217073,0.0001,18455.174438476562,0.025
35,35840,19,241.96281872000003,8.6,6594.0,32550,1,-0.009812841273378581,9593.13671875,0.006371581,0.04077225923538208,0.2,183,-0.20796953942626714,0.0001,19938.880932617187,0.0580078125
36,36864,19,248.82025352000005,8.95,6594.0,33475,1,0.0023771996217730796,10089.4443359375,0.021679163,0.0008474588394165039,0.2,185,-0.21833586300674238,0.0001,19011.454975328947,0.019736842105263157
37,37888,19,258.43582046,8.56,6778.0,34382,1,-0.0005089178564958274,8584.46875,0.0031520599,0.0854371190071106,0.2,190,-0.2140126883983612,0.0001,18225.9765625,0.0185546875
38,38912,19,236.99294729000005,8.49,6682.0,35322,1,-0.006752324567059986,8403.6279296875,0.0065451814,-0.0001976490020751953,0.2,195,-0.2123276896774769,0.0001,17342.235290527344,0.0361328125
39,39936,19,243.22957003,8.6,6594.0,36241,1,-0.0019117231131531298,8818.001953125,0.0026594074,-8.881092071533203e-05,0.2,200,-0.21409645155072213,0.0001,18254.510998535156,0.028515625
40,40960,19,239.0229992,8.7,6594.0,37164,1,-0.005695312574971467,9262.7265625,0.00375538,-0.0010277032852172852,0.2,205,-0.22347281612455844,0.0001,17525.099267578124,0.0443359375
