time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,custom/current_screen,time/iterations,time/time_elapsed,custom/max_height,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/n_updates,train/explained_variance,train/loss,train/value_loss
43008,195.05365823999992,3,68.26,30,21,14290,10754.0,0.0001,-0.2385121370665729,-0.0027769387190346604,0.2,0.0057559432,0.05615234375,95,0.005586981773376465,850.8362426757812,1613.2376861572266
45056,184.39340986999997,2,65.27,30,22,15065,10498.0,0.0001,-0.24128920510411261,-0.002033817916526459,0.2,0.0029688524,0.0125,100,0.0313381552696228,933.288818359375,1044.1913381576537
47104,191.86185293000003,2,64.8,30,23,15836,10626.0,0.0001,-0.2282641558907926,-0.0005447757852380164,0.2,0.0017769481,0.01513671875,105,0.0111960768699646,1673.8992919921875,1508.9031198501586
49152,188.24693558,2,64.14,30,24,16618,10498.0,0.0001,-0.21898937392979861,-0.0020537984470138325,0.2,0.0027237972,0.01103515625,110,0.08127707242965698,341.3634948730469,1017.5814487457276
51200,195.71968585,2,66.54,30,25,17395,10754.0,0.0001,-0.20740731894038617,0.0008109044429147616,0.2,0.0033200283,0.01298828125,115,0.06858742237091064,208.69482421875,1313.0254930496217
53248,195.19464027999996,2,66.15,30,26,18182,10754.0,0.0001,-0.22005323997952722,0.001452013543298976,0.2,0.025094397,0.03551136363636364,118,0.04480844736099243,983.138671875,1434.208040642016
55296,187.99877107999998,2,63.49,30,27,18990,10754.0,0.0001,-0.21374161266721786,-0.0008409393718466163,0.2,0.0019436656,0.005859375,123,0.14279615879058838,201.6042022705078,718.1695835113526
57344,194.66767936999995,2,63.38,30,28,19777,10634.0,0.0001,-0.21515914592891933,-0.0017013540695188568,0.2,0.0031681545,0.0248046875,128,0.09691351652145386,199.73240661621094,1213.3187908172608
59392,198.40914662999995,2,65.33,30,29,20540,10498.0,0.0001,-0.21868285136297344,-0.003719600311887916,0.2,0.0075887693,0.07646484375,133,0.14202696084976196,616.728759765625,951.2675427436828
61440,198.14510989999997,2,65.01,30,30,21327,10498.0,0.0001,-0.22349471431225537,0.0006175960093969479,0.2,0.0022022608,0.00810546875,138,0.1431216597557068,624.1411743164062,733.8237705230713
63488,201.87190027,2,66.0,30,31,22105,10626.0,0.0001,-0.2238080590032041,-0.0021667084642103874,0.2,0.0021951466,0.01064453125,143,0.2079688310623169,97.61396789550781,589.1809421062469
65536,209.06079624999998,2,66.16,30,32,22888,10626.0,0.0001,-0.20695245880633592,-0.0003291826316853985,0.2,0.0032345504,0.01962890625,148,0.16485238075256348,390.7298889160156,554.0857161521911
67584,219.98100717,2,68.53,30,33,23671,10498.0,0.0001,-0.2105107493698597,0.0013798451545881107,0.2,0.0020781048,0.0185546875,153,0.4161669611930847,97.27523803710938,183.77186970710756
69632,212.54732576999996,2,67.31,30,34,24466,10626.0,0.0001,-0.2111986464355141,-0.0017792506783735006,0.2,0.0044322987,0.03544921875,158,0.3984060287475586,89.16059112548828,156.01394991874696
