time/iterations,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,custom/current_screen,time/fps,rollout/ep_rew_mean,custom/max_height,train/value_loss,train/approx_kl,train/entropy_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/loss,train/clip_fraction
1,1859,13.02,2048,4,1,153.98332354,1226.0,,,,,,,,,,
2,3663,13.51,4096,4,1,175.97457028,1410.0,10349.568277994791,0.0060489383,-0.5147188653548559,0.2,0.0001,-0.001156300927201907,-0.004966855049133301,99,5225.875,0.032552083333333336
3,5461,13.04,6144,4,1,167.16091055,1154.0,7378.4332275390625,0.01351731,-0.5022624327855951,0.2,0.0001,-0.0004410258877803298,-0.008559107780456543,102,4263.607421875,0.058823529411764705
4,7312,13.22,8192,4,1,168.95323351000008,1410.0,7592.186254882812,0.019496031,-0.49948112666606903,0.2,0.0001,-5.881320685148239e-05,-0.011759638786315918,104,4061.757080078125,0.062109375
