time/total_timesteps,custom/current_screen,time/iterations,rollout/ep_len_mean,custom/max_height,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/policy_gradient_loss,train/loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/value_loss,train/n_updates,train/clip_fraction,train/clip_range,train/learning_rate
2048,25,1,9.01,8714.0,-256.55798115,2198,0,,,,,,,,,,
4096,25,2,9.8,8714.0,-262.95219048,4285,0,-0.003572103669284843,20465.421875,-1.6084822289645673,-0.0001760721206665039,0.0017921403,39981.20284423828,5,0.0001953125,0.2,0.0001
6144,25,3,10.18,8730.0,-263.09244472999995,6407,0,-0.0012235947739100083,17663.04296875,-1.606380681693554,-0.0042569637298583984,0.00036876657,34503.74616699219,10,0.0,0.2,0.0001
8192,25,4,8.73,8714.0,-268.82253856,8442,0,-0.0023561563924886287,17749.13671875,-1.6042662039399147,0.0003153681755065918,0.00056182744,33408.83549804687,15,0.0,0.2,0.0001
10240,25,5,10.04,8834.0,-248.95088429000003,10367,0,-0.0032750173035310582,19820.6796875,-1.600070881098509,0.0021114349365234375,0.0007861989,31620.38360595703,20,0.0,0.2,0.0001
12288,25,6,13.97,8714.0,-266.98419649,12143,1,-0.0029406593792373316,14837.9716796875,-1.5921139009296894,-0.0014586448669433594,0.0010980689,28048.56427001953,25,0.0,0.2,0.0001
14336,25,7,11.51,8714.0,-266.46671662999995,14023,1,-0.001826781246927567,13067.7578125,-1.5859773442149163,0.0002397298812866211,0.00047839325,25188.184509277344,30,0.0,0.2,0.0001
16384,25,8,12.32,8714.0,-262.6421378400001,15868,1,-0.002006283387891017,16160.0556640625,-1.5838786259293556,-0.00014007091522216797,0.0006287008,29458.868994140626,35,0.0,0.2,0.0001
