time/fps,custom/current_screen,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,custom/max_height,train/loss,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/value_loss,train/clip_range,train/n_updates,train/entropy_loss,train/clip_fraction
0,1,-183.87999999999994,3565,2.12,1,2048,90.0,,,,,,,,,,
0,1,-182.89599999999996,6853,3.13,2,4096,186.0,12736.5947265625,0.0001,-0.048107109311968085,0.0141015705,-0.0029375553131103516,26797.65203857422,0.2,5,-3.324845850467682,0.1646484375
0,1,-181.4559999999999,10006,3.46,3,6144,90.0,11325.6318359375,0.0001,-0.04368744108942337,0.013779099,-0.018499135971069336,23526.016174316406,0.2,10,-3.295475606620312,0.14443359375
0,1,-184.33599999999996,12964,4.91,4,8192,90.0,10072.66015625,0.0001,-0.04032888449728489,0.013776857,-0.0051926374435424805,21291.309338378906,0.2,15,-3.2466396570205687,0.13544921875
0,1,-184.45599999999996,15671,5.54,5,10240,186.0,9392.5068359375,0.0001,-0.027300653216661884,0.009602552,0.000713646411895752,18952.262780761717,0.2,20,-3.188243977725506,0.06884765625
