custom/current_screen,time/iterations,custom/max_height,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,train/approx_kl,train/explained_variance,train/value_loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/loss,train/learning_rate,train/n_updates,train/clip_range
16,1,5562.0,-97.09278757000004,3328,0,5.16,2048,,,,,,,,,,
16,2,5618.0,-72.43856751000001,6268,0,6.24,4096,0.022675797,0.0009591579437255859,15622.129450334822,-0.7450837995324816,0.09017857142857143,-0.014940632493900402,7374.20263671875,0.0001,3,0.2
16,3,5562.0,-36.08261816,8938,0,7.73,6144,0.014504408,0.04747813940048218,15554.106310614225,-0.7910554203493841,0.09859913793103449,-0.01482837358168487,7067.8935546875,0.0001,5,0.2
16,4,5530.0,36.39729550000001,11475,0,10.39,8192,0.013001345,0.0890398621559143,15671.54028930664,-0.7612864505499601,0.12919921875,-0.0212997598486254,7321.802734375,0.0001,10,0.2
16,5,5474.0,30.38290071000001,14040,0,9.48,10240,0.007870482,0.17465782165527344,15959.186029052735,-0.7217621326446533,0.12021484375,-0.01973235181067139,7382.5263671875,0.0001,15,0.2
16,6,5530.0,49.41715218999999,16509,0,10.01,12288,0.0051141134,0.2012956142425537,16195.308880615234,-0.700785380974412,0.05791015625,-0.014413678590790369,8250.154296875,0.0001,20,0.2
16,7,5530.0,48.31558536999999,18973,0,9.87,14336,0.0045625893,0.21279704570770264,15848.75205078125,-0.6820345483720303,0.04296875,-0.01530742869072128,7402.09033203125,0.0001,25,0.2
16,8,5530.0,87.95589226,21345,0,11.07,16384,0.0046956474,0.18223512172698975,15726.432836914062,-0.6594037864357233,0.03603515625,-0.010141838120762258,7587.20263671875,0.0001,30,0.2
16,9,5530.0,126.87245525,23766,0,11.81,18432,0.0036740093,0.17559486627578735,15520.126782226562,-0.6312583241611719,0.02607421875,-0.008630318232462741,7221.857421875,0.0001,35,0.2
16,10,5722.0,110.36247718999998,26187,0,11.13,20480,0.0047300663,0.07693701982498169,15087.400329589844,-0.6296178657561541,0.0291015625,-0.008812926011160016,7884.6787109375,0.0001,40,0.2
16,11,5618.0,121.06812216,28617,0,11.11,22528,0.0048863925,0.04738485813140869,14973.090399169922,-0.5954809442162514,0.0251953125,-0.007182978004857432,6914.75830078125,0.0001,45,0.2
16,12,5738.0,156.99762373,31048,0,11.93,24576,0.0022316233,0.037471890449523926,14721.133795166015,-0.5769580384716392,0.01298828125,-0.0064651727501768615,7177.2255859375,0.0001,50,0.2
16,13,5474.0,145.17854005,33550,0,11.49,26624,0.00553077,0.033714115619659424,14014.842022705077,-0.5500135388225317,0.0431640625,-0.01088935045117978,6558.138671875,0.0001,55,0.2
16,14,5530.0,167.81564774999998,36025,0,12.04,28672,0.003453741,0.013202965259552002,13768.599505615235,-0.5452580109238625,0.02568359375,-0.004091321497980971,6038.07470703125,0.0001,60,0.2
16,15,5530.0,149.49631254,38493,0,11.67,30720,0.0031474093,0.011976242065429688,13059.432446289062,-0.5354301458224654,0.0326171875,-0.005929110141005367,5839.7646484375,0.0001,65,0.2
