rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,custom/current_screen,time/iterations,time/total_timesteps,custom/max_height,time/time_elapsed,train/explained_variance,train/entropy_loss,train/value_loss,train/approx_kl,train/learning_rate,train/loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/clip_range
9.85145124,0,5.57,22,1,1024,7722.0,1613,,,,,,,,,,
59.69996108000001,0,5.74,22,2,2048,7882.0,3133,-0.00019085407257080078,-0.6451931871473789,33950.171069335935,0.011956615,0.0001,18081.3828125,0.1177734375,-0.03034163770498708,5,0.2
