rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,custom/max_height,time/fps,custom/current_screen,train/entropy_loss,train/learning_rate,train/loss,train/clip_fraction,train/clip_range,train/value_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/explained_variance
156.03566259,9.24,1024,1,1273,4074.0,0,12,,,,,,,,,,
146.62855893,10.88,2048,2,2555,4074.0,0,12,-0.8116124875843524,0.0001,6251.0361328125,0.048046875,0.2,13576.324548339844,0.006628353,65,-0.009187487419694662,0.005031704902648926
155.58944508000002,9.54,3072,3,3810,4250.0,0,12,-0.7997756488621235,0.0001,6889.80029296875,0.0296875,0.2,14372.562048339843,0.004302725,70,-0.008260552934370936,0.004796326160430908
157.27682189,8.92,4096,4,5086,4146.0,0,12,-0.7910840027034283,0.0001,7662.4267578125,0.0296875,0.2,15150.905651855468,0.0029520052,75,-0.007063419977203012,0.006581366062164307
