rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/clip_range,train/n_updates,train/learning_rate,train/loss,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
26.19514685714286,11.23076923076923,1024.0,1.0,0,1201,,,,,,,,,,
50.18419858,11.96,2048.0,2.0,0,2356,-0.6433712624013423,0.2,5.0,0.0001,9265.826171875,22821.992578125,0.007642063,-0.0134403180913068,-0.0029078722000122,0.0662109375
-2.4852964999999974,10.33,3072.0,3.0,0,3618,-0.6504573449492455,0.2,10.0,0.0001,10422.4287109375,20392.18820800781,0.0054693203,-0.0134245933732017,0.0310242772102355,0.0548828125
31.397123949999997,11.5,4096.0,4.0,0,4846,-0.6688706740736962,0.2,15.0,0.0001,11882.7646484375,22694.98991699219,0.00778618,-0.0128610766842029,0.0322000980377197,0.040625
71.05056533999999,12.32,5120.0,5.0,0,6016,-0.6628321215510369,0.2,20.0,0.0001,9248.0419921875,20980.59245605469,0.0072738966,-0.0112950642593204,0.0660956501960754,0.075390625
89.85796858000002,12.51,6144.0,6.0,0,7207,-0.6580653794109821,0.2,25.0,0.0001,9967.146484375,19652.86036376953,0.005251266,-0.009338618745096,0.0913615822792053,0.0611328125
80.21238815,12.21,7168.0,7.0,0,8396,-0.6366747617721558,0.2,30.0,0.0001,9344.4755859375,19619.15819091797,0.006071618,-0.0070126779843121,0.0849184989929199,0.04375
70.29026939,11.53,8192.0,8.0,0,9606,-0.6272967450320721,0.2,35.0,0.0001,10729.193359375,19760.37091064453,0.004825942,-0.0059783947945106,0.0776569843292236,0.0259765625
64.2658175,11.41,9216.0,9.0,0,10804,-0.622682636231184,0.2,40.0,0.0001,9402.6650390625,19286.938623046877,0.0036833284,-0.0083323782775551,0.0960496664047241,0.0265625
120.82224312,13.27,10240.0,10.0,0,11925,-0.6234022431075573,0.2,45.0,0.0001,8927.4912109375,18934.989331054687,0.0035169844,-0.0064694937318563,0.1053861379623413,0.01796875
101.93722635000005,12.88,11264.0,11.0,0,13095,-0.6154501162469387,0.2,50.0,0.0001,9323.2314453125,17420.27373046875,0.0034969603,-0.0063936677295714,0.1243513226509094,0.01796875
93.84257527,12.45,12288.0,12.0,0,14255,-0.5929494127631187,0.2,55.0,0.0001,9466.2158203125,17674.154248046874,0.0068125017,-0.0111318914685398,0.049546480178833,0.0400390625
98.19176999,12.48,13312.0,13.0,0,15424,-0.5743048146367074,0.2,60.0,0.0001,7330.13818359375,16972.100354003906,0.003060403,-0.0073819434794131,0.0473164916038513,0.02265625
124.55737872000002,12.95,14336.0,14.0,0,16576,-0.5787056855857372,0.2,65.0,0.0001,8227.1513671875,17466.506945800782,0.003957674,-0.0071015810244716,0.0445826053619384,0.0302734375
117.54085790000003,12.96,15360.0,15.0,0,17742,-0.5584485501050949,0.2,70.0,0.0001,8894.4306640625,16287.253784179688,0.0044044987,-0.0057620129227871,0.0563428997993469,0.026953125
107.564289,12.47,16384.0,16.0,0,18909,-0.552984400652349,0.2,72.0,0.0001,9726.796875,17029.84844970703,0.011772564,-0.0064542805193923,0.0261595845222473,0.0341796875
126.50566774,12.64,17408.0,17.0,0,20057,-0.5152460265904665,0.2,77.0,0.0001,7779.74072265625,17022.078259277343,0.004703908,-0.0085875392367597,0.0347371697425842,0.03125
