rollout/ep_rew_mean,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,custom/max_height,time/time_elapsed,custom/current_screen,train/value_loss,train/clip_fraction,train/clip_range,train/loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/entropy_loss
-26.006400000000014,18432,18,13.45,0,12714.0,22229,36,31765.586560058593,0.0234375,0.2,18785.609375,0.005948177,0.0001,-0.0060476834303699436,230,0.05155599117279053,-0.9543900400400162
-35.753099999999996,19456,19,11.74,0,12786.0,23451,36,23981.560443115235,0.0681640625,0.2,9753.46484375,0.004929293,0.0001,-0.007977849687449634,235,0.06501740217208862,-0.9401140078902245
-6.680159999999998,20480,20,11.52,0,12786.0,24658,36,16499.086560058593,0.0025390625,0.2,4118.4736328125,0.0025936305,0.0001,-0.0024134899431373924,240,0.0579221248626709,-0.9351823717355728
-67.79660000000001,21504,21,12.75,0,12786.0,25817,36,7460.799298095703,0.0337890625,0.2,3989.055908203125,0.006779602,0.0001,-0.008390468033030628,245,0.11019778251647949,-0.934630598127842
-55.25144,22528,22,11.75,0,12786.0,27040,36,39499.345385742185,0.0220703125,0.2,11671.6103515625,0.003326126,0.0001,-0.003878775495104492,250,0.05967658758163452,-0.9489145666360855
-43.92754,23552,23,11.28,0,12714.0,28302,36,23595.475653076173,0.0119140625,0.2,8016.8056640625,0.0037464267,0.0001,-0.00480353522580117,255,0.05674213171005249,-0.9192186199128628
-32.64808000000001,24576,24,12.06,0,12658.0,29545,36,15594.551208496094,0.01640625,0.2,5428.0615234375,0.004459157,0.0001,-0.006417368451366201,260,0.07033848762512207,-0.9084481097757816
-60.54653999999999,25600,25,15.26,0,12786.0,30683,36,27442.5794921875,0.0048828125,0.2,11416.724609375,0.0021776976,0.0001,-0.00500853672856465,265,0.05165332555770874,-0.9193323574960232
-49.014920000000004,26624,26,15.54,0,12786.0,31851,36,27080.731286621092,0.0099609375,0.2,21068.591796875,0.0019851339,0.0001,-0.0038126484607346354,270,0.0562669038772583,-0.9303907603025436
-10.398979999999996,27648,27,14.55,0,12786.0,32985,36,20082.744891357423,0.0083984375,0.2,12426.7919921875,0.0031140894,0.0001,-0.005059263907605782,275,0.05686062574386597,-0.9327739477157593
-36.77644,28672,28,14.45,0,12658.0,34155,36,14458.881121826173,0.0265625,0.2,6867.34130859375,0.0040682526,0.0001,-0.004525851417565718,280,0.07565420866012573,-0.9607134751975537
-72.02013999999998,29696,29,12.72,0,12714.0,35361,36,24962.41768798828,0.0318359375,0.2,5316.0888671875,0.0037350098,0.0001,-0.003327552363043651,285,0.07436436414718628,-0.9590342253446579
