rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,custom/max_height,custom/current_screen,time/iterations,train/learning_rate,train/loss,train/clip_range,train/value_loss,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/n_updates
-106.63044444000003,2048,0,4.93,3388,5562.0,16,1,,,,,,,,,,
-68.84324456,4096,0,5.96,6432,5618.0,16,2,0.0001,6842.89306640625,0.2,15337.470892458547,-0.8045447949244051,-0.0068427324295043945,-0.009866188232767947,0.022076577,0.05931122448979592,4
-17.589071600000008,6144,0,7.86,9099,5562.0,16,3,0.0001,8237.4912109375,0.2,15669.512763843202,-0.8116589617310909,0.05310344696044922,-0.01592158013137809,0.013049811,0.08114035087719298,6
16.933643580000002,8192,0,8.68,11679,5618.0,16,4,0.0001,7269.384765625,0.2,16363.34676513672,-0.7499537661671638,0.09805262088775635,-0.02167396211880259,0.009572499,0.12060546875,11
19.538787469999995,10240,0,9.04,14207,5474.0,16,5,0.0001,8963.1572265625,0.2,17035.146643066408,-0.7154156599193812,0.17092090845108032,-0.018966330942930654,0.005690622,0.10302734375,16
112.84379286000001,12288,0,12.34,16545,5530.0,16,6,0.0001,8090.47509765625,0.2,16494.219940185547,-0.6877382267266512,0.1804492473602295,-0.01576704323524609,0.006922198,0.05341796875,21
124.43026280000002,14336,0,12.32,18912,5618.0,16,7,0.0001,8050.37548828125,0.2,16050.309765625,-0.6598035644739866,0.22227895259857178,-0.013995724450796842,0.006653169,0.04052734375,26
124.76589812999998,16384,0,11.66,21298,5618.0,16,8,0.0001,7559.08935546875,0.2,15731.654351806641,-0.6337321631610393,0.06624311208724976,-0.009769664861960337,0.0028372316,0.02158203125,31
126.46614310999999,18432,0,12.03,23722,5530.0,16,9,0.0001,7995.42822265625,0.2,15356.802844238282,-0.6102900184690953,0.03513592481613159,-0.009090692721656524,0.0027066069,0.02783203125,36
131.14254359999998,20480,0,11.83,26124,5618.0,16,10,0.0001,7249.06640625,0.2,14578.361437988282,-0.6089244622737169,0.0162772536277771,-0.008628946992394049,0.0028971126,0.02744140625,41
138.49101875,22528,0,12.1,28530,5722.0,16,11,0.0001,7449.267578125,0.2,14293.061297607423,-0.5782859677448868,0.030466794967651367,-0.009431561967357994,0.0030493354,0.01884765625,46
181.63160308,24576,0,13.47,30871,5530.0,16,12,0.0001,6630.80908203125,0.2,13516.218634033203,-0.5708863466978074,0.014715790748596191,-0.006758087591151707,0.0020157273,0.01171875,51
156.86146315000002,26624,0,11.86,33268,5530.0,16,13,0.0001,6563.73291015625,0.2,12402.47703857422,-0.5505665259435772,0.009945511817932129,-0.005664918525144458,0.0033837096,0.01630859375,56
131.94656704,28672,0,11.27,35734,5562.0,16,14,0.0001,6090.3447265625,0.2,12350.45884399414,-0.5183973556384445,0.0032848715782165527,-0.006109004376048688,0.0028296595,0.0197265625,61
