custom/max_height,rollout/ep_rew_mean,rollout/ep_len_mean,custom/current_screen,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/learning_rate,train/explained_variance,train/loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_range
6010.0,110.80724765517242,17.586206896551722,17,1,1,868,1024,,,,,,,,,,
5818.0,141.60059296000003,18.74,17,1,2,1693,2048,0.0001,0.00021690130233764648,7101.05322265625,0.0798828125,5,-0.6370474509894848,-0.014490512030897662,0.009140976,15395.684533691407,0.2
6010.0,181.18485409000004,20.23,17,1,3,2511,3072,0.0001,0.031043708324432373,6646.896484375,0.0142578125,10,-0.6237577147781849,-0.005257639195770025,0.0036470874,15067.821936035156,0.2
