rollout/ep_rew_mean,custom/max_height,time/iterations,custom/current_screen,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/entropy_loss,train/explained_variance,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/approx_kl,train/loss
44.05100542,4146.0,1,12,0,1180,1024,8.69,,,,,,,,,,
57.664914059999994,4074.0,2,12,0,2459,2048,8.62,5,-0.9937716290354729,0.00025081634521484375,0.141796875,0.2,-0.02133103566011414,12762.485021972656,0.0001,0.011076391,5573.49169921875
68.45611484999999,4074.0,3,12,0,3754,3072,9.34,10,-0.963908851891756,0.004516184329986572,0.137109375,0.2,-0.020608739752788097,12977.92939453125,0.0001,0.009887538,6991.69921875
83.72272304999998,4250.0,4,12,0,4977,4096,9.43,15,-0.9478559866547585,0.0031052231788635254,0.0998046875,0.2,-0.013568958290852607,12658.39248046875,0.0001,0.010355402,7674.5146484375
126.96730057,4002.0,5,12,0,6245,5120,10.16,20,-0.9125208199024201,0.00346297025680542,0.0630859375,0.2,-0.012475255946628749,12657.756726074218,0.0001,0.007673171,5604.07275390625
122.64199027000001,4074.0,6,12,0,7524,6144,9.87,25,-0.9003350742161274,0.004005014896392822,0.04375,0.2,-0.010902856686152517,14769.07744140625,0.0001,0.005138873,7534.0654296875
111.02254266,4146.0,7,12,0,8829,7168,10.33,30,-0.8828686721622944,0.0019363760948181152,0.043359375,0.2,-0.008709970489144325,14675.121545410157,0.0001,0.006514484,5390.8046875
123.48896760999997,4074.0,8,12,0,10101,8192,9.07,35,-0.8855128310620785,0.0023955106735229492,0.069140625,0.2,-0.01028591843205504,15529.189489746093,0.0001,0.008938615,7535.0859375
119.39688733999999,4002.0,9,12,0,11368,9216,10.52,40,-0.873903825879097,0.005714356899261475,0.047265625,0.2,-0.011061598407104611,14039.87257080078,0.0001,0.0072470875,6242.609375
146.88500987999998,4250.0,10,12,0,12636,10240,9.37,45,-0.8748231314122676,0.004820108413696289,0.0484375,0.2,-0.00934797478839755,14411.16348876953,0.0001,0.0067433063,7562.78515625
126.83612824,4074.0,11,12,0,13905,11264,9.74,50,-0.8467855997383594,0.007509768009185791,0.038671875,0.2,-0.010039922059513628,13867.71485595703,0.0001,0.00601285,7578.65185546875
150.07308403,4250.0,12,12,0,15182,12288,10.1,55,-0.8604954808950425,0.004998624324798584,0.02890625,0.2,-0.00791993843158707,15331.688012695313,0.0001,0.0033445798,7619.10498046875
