rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,custom/max_height,time/time_elapsed,time/iterations,custom/current_screen,train/learning_rate,train/n_updates,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/loss,train/clip_range,train/entropy_loss,train/value_loss
-59.96853838,1,2048,10.21,442.0,1670,1,2,,,,,,,,,,
-65.56251274,1,4096,9.5,442.0,3341,2,2,0.0001,10,0.0,0.0,-1.5779733075760305e-08,0.00018590688705444336,2696.898681640625,0.2,-0.8151317384094,5678.084742736816
-38.21254294999999,1,6144,11.05,442.0,5068,3,2,0.0001,20,0.0,0.0,1.5090336091816426e-09,0.030772924423217773,2779.555419921875,0.2,-0.8170962475240231,5797.592506408691
-66.07146535000001,1,8192,10.29,442.0,6777,4,2,0.0001,30,0.0,0.0,-1.8932041712105273e-09,0.07236814498901367,3934.209228515625,0.2,-0.842288189381361,7046.438103485108
-40.345144930000004,1,10240,10.8,442.0,8475,5,2,0.0001,40,0.009542352,0.131005859375,-0.013817269069841131,0.05554872751235962,2862.16845703125,0.2,-0.8420395700260996,6170.097444152832
-63.023971470000006,1,12288,10.02,442.0,10161,6,2,0.0001,50,0.008004842,0.080859375,-0.007328010408673436,0.10019481182098389,3630.369873046875,0.2,-0.837503426335752,7006.840357971191
-31.65129207,1,14336,11.54,442.0,11878,7,2,0.0001,60,0.007485438,0.1001953125,-0.014300804545928258,0.03860628604888916,3105.8857421875,0.2,-0.8353079171851278,6929.789902496338
-14.822571680000001,1,16384,12.63,442.0,13626,8,2,0.0001,70,0.0065470776,0.080322265625,-0.0084212432266213,0.09957969188690186,3703.2880859375,0.2,-0.8659814221784472,8222.121713256836
0.26620919999999826,1,18432,11.55,490.0,15370,9,2,0.0001,80,0.00531922,0.048828125,-0.007129357272060588,0.08369868993759155,4321.486328125,0.2,-0.863567142188549,9163.28240661621
-6.140595659999999,1,20480,11.74,490.0,17145,10,2,0.0001,90,0.005823413,0.077197265625,-0.011642301433312241,0.09001016616821289,5356.01513671875,0.2,-0.8591331604868173,10521.877862548828
-27.9513193,1,22528,10.68,442.0,18858,11,2,0.0001,100,0.007998053,0.075537109375,-0.01062925427686423,0.07651489973068237,5577.71728515625,0.2,-0.8149762868881225,9658.301324462891
-15.46770488,1,24576,10.26,442.0,20612,12,2,0.0001,110,0.00563694,0.04501953125,-0.007259167440497549,0.07696998119354248,5293.50341796875,0.2,-0.7797107499092817,9398.019216918945
14.948096769999998,1,26624,11.65,442.0,22385,13,2,0.0001,120,0.0057540163,0.06572265625,-0.009005447660456412,0.11041456460952759,5819.74462890625,0.2,-0.7762294042855501,10220.0048828125
3.254849900000002,1,28672,10.99,538.0,24119,14,2,0.0001,130,0.002514313,0.020703125,-0.003823151861433871,0.10161572694778442,5628.70703125,0.2,-0.7735004166141153,10223.156465148926
-3.276326499999999,1,30720,10.86,650.0,25841,15,2,0.0001,140,0.00508293,0.05732421875,-0.008683067053789273,0.0870586633682251,6134.5546875,0.2,-0.7770553985610604,11680.995596313476
16.882793060000004,1,32768,11.36,442.0,27543,16,2,0.0001,150,0.0057901135,0.04560546875,-0.007613513112301007,0.08996188640594482,6504.24462890625,0.2,-0.7763543283566833,11508.014671325684
14.187408990000003,1,34816,10.82,442.0,29268,17,2,0.0001,160,0.0043484606,0.0291015625,-0.004138951149070635,0.10496127605438232,5536.59033203125,0.2,-0.7663670592010021,10763.540617370605
