rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,custom/current_screen,time/total_timesteps,custom/max_height,time/iterations,time/fps,train/approx_kl,train/loss,train/clip_range,train/explained_variance,train/clip_fraction,train/value_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/entropy_loss
6.78,160.43299525,2876,1,2048,90.0,1,0,,,,,,,,,,
6.46,183.54434447,5713,1,4096,90.0,2,0,0.01839105,8143.447265625,0.2,0.05599147081375122,0.03353658536585366,12821.468464176829,0.0003,46,-0.0009537175888331925,-0.7316972293504854
7.14,194.51534613000004,8516,1,6144,186.0,3,0,0.017386565,4284.21484375,0.2,0.03418654203414917,0.09411764705882353,10365.685386029412,0.0003,49,-0.009580690082272187,-0.7135336749693927
6.91,208.96865223000003,11209,1,8192,186.0,4,0,0.011698937,3968.228271484375,0.2,0.044975876808166504,0.09084302325581395,8455.537648755451,0.0003,52,-0.006934680412848329,-0.6320338748222174
6.81,228.41688415000004,13932,1,10240,90.0,5,0,0.012779051,4029.15673828125,0.2,0.06865626573562622,0.09454113924050633,6024.851964250395,0.0003,55,-0.00923972713607776,-0.5935637241677393
6.83,217.77170769,16694,1,12288,186.0,6,0,0.008720256,2496.2392578125,0.2,0.04742622375488281,0.06,4516.590654296875,0.0003,56,0.004010776057839394,-0.5507500195503234
6.9,224.48186827000006,19374,1,14336,186.0,7,0,0.009180266,2284.10302734375,0.2,0.025551319122314453,0.0734375,4362.257971191406,0.0003,57,0.0020375136053189637,-0.5186638861894608
6.66,217.68400436,22146,1,16384,282.0,8,0,0.015077838,2560.3916015625,0.2,0.02590024471282959,0.07739825581395349,3552.3220498728197,0.0003,59,0.0026697308084992475,-0.48898814861164536
6.88,210.33312153999998,24996,1,18432,90.0,9,0,0.010333872,2883.20654296875,0.2,0.004373669624328613,0.038461538461538464,4363.728966346154,0.0003,60,-0.001044549262867524,-0.4504473301080557
6.67,224.89217464,27828,1,20480,282.0,10,0,0.0060956096,2237.173583984375,0.2,0.015222012996673584,0.050107758620689655,4098.638448780981,0.0003,61,-0.001397585801394849,-0.45404354457197516
6.83,232.23394575000003,30708,1,22528,90.0,11,0,0.0072754617,821.220703125,0.2,0.05193006992340088,0.05796370967741935,4037.438933341734,0.0003,62,-0.0011727929475807374,-0.4287230574315594
6.58,225.28761057000003,33556,1,24576,90.0,12,0,0.007574933,1445.803955078125,0.2,-0.004793524742126465,0.07310267857142858,2702.080998011998,0.0003,63,0.009510167092750115,-0.4456646367907524
6.78,235.82106790000006,36447,1,26624,306.0,13,0,0.009457437,2971.70361328125,0.2,0.048651158809661865,0.06076388888888889,3298.143513997396,0.0003,64,-0.002274347779651483,-0.4270462824238671
