time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,custom/max_height,time/time_elapsed,custom/current_screen,rollout/ep_rew_mean,train/clip_range,train/loss,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/learning_rate,train/entropy_loss,train/n_updates
2048,0,19.12,1,1034.0,2061,3,102.18963713,,,,,,,,,,
4096,1,19.28,2,890.0,4065,3,78.58737964000001,0.2,4333.90576171875,9101.104919433594,0.001201875,-0.0034403843397740274,0.052561044692993164,0.0126953125,0.0001,-1.3823333233594894,764
