custom/current_screen,time/time_elapsed,time/fps,rollout/ep_len_mean,custom/max_height,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/policy_gradient_loss,train/n_updates,train/value_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/approx_kl,train/loss,train/clip_range,train/entropy_loss
0,127,1,3.8181818181818183,-302.0,128,1,0.5060606060606059,,,,,,,,,,
0,259,0,3.8333333333333335,-158.0,256,2,0.4469696969696966,-0.02378326451871544,10,82.48495807647706,0.0003,-0.015181422233581543,0.00390625,0.003935456,42.196537017822266,0.2,-2.7716758370399477
0,390,0,3.81,-302.0,384,3,-0.3324999999999998,-0.01490877813193947,20,63.17029209136963,0.0003,0.016997992992401123,0.0,0.0031881179,34.07858657836914,0.2,-2.7663852691650392
0,519,0,3.75,-302.0,512,4,-0.789,-0.00867107161320746,30,224.71661605834962,0.0003,0.024760425090789795,0.0,0.0012007705,113.69148254394531,0.2,-2.7601237177848814
0,654,0,3.7,-158.0,640,5,-0.6685000000000001,-0.006219533272087574,40,320.45025939941405,0.0003,0.024708867073059082,0.0,0.00042138202,172.7985382080078,0.2,-2.758232605457306
0,787,0,3.63,-302.0,768,6,-0.9620000000000001,-0.007505035074427724,50,233.23755645751953,0.0003,0.007593870162963867,0.0,0.00050978875,119.39868927001953,0.2,-2.7541507363319395
0,918,0,3.59,-302.0,896,7,-0.9764999999999998,-0.015080791246145964,60,265.8907829284668,0.0003,0.021305322647094727,0.0,0.0017468394,125.62711334228516,0.2,-2.750172662734985
0,1055,0,3.49,-158.0,1024,8,-0.9874999999999997,-0.007642478472553194,70,398.9011749267578,0.0003,0.03404104709625244,0.0,0.0006482145,227.32162475585938,0.2,-2.745209574699402
0,1193,0,3.56,-302.0,1152,9,-0.5129999999999998,-0.007361641898751259,80,305.0426368713379,0.0003,0.05614018440246582,0.0,0.0004946855,156.16372680664062,0.2,-2.740234208106995
0,1333,0,3.65,-302.0,1280,10,-0.9125000000000001,-0.014864991139620542,90,133.4773250579834,0.0003,0.057898104190826416,0.0,0.0017920895,73.5846176147461,0.2,-2.735716938972473
0,1460,0,3.71,-158.0,1408,11,-0.32300000000000045,-0.006509717414155602,100,145.18841056823732,0.0003,0.0961066484451294,0.0,0.001113995,71.40601348876953,0.2,-2.727463722229004
