custom/current_screen,time/total_timesteps,custom/max_height,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/policy_gradient_loss,train/loss,train/clip_range,train/n_updates,train/clip_fraction,train/explained_variance,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss
2,2048,442.0,-120.11611385,0,3925,1.83,1,,,,,,,,,,
2,4096,442.0,-120.20261303999997,0,7693,2.35,2,-0.02831197259365581,5100.55615234375,0.2,5,0.201171875,-0.0009726285934448242,0.015296992,12263.990130615235,0.0001,-2.4751083076000215
2,6144,442.0,-118.84077851,0,11085,2.63,3,-0.025723157811444252,4542.95849609375,0.2,10,0.1365234375,0.01876145601272583,0.013635679,10369.416479492187,0.0001,-2.4442062944173815
2,8192,442.0,-121.01546476,0,14378,2.86,4,-0.02177725892979652,4292.48046875,0.2,15,0.075390625,0.009183347225189209,0.008725882,9426.28232421875,0.0001,-2.4090927079319955
2,10240,442.0,-118.32632077,0,17244,3.24,5,-0.024252013448858634,4188.9970703125,0.2,20,0.08212890625,0.0006020665168762207,0.011983431,8566.333563232422,0.0001,-2.350648947060108
2,12288,442.0,-115.77040712,0,19966,3.75,6,-0.022365160268964245,3718.131591796875,0.2,25,0.05341796875,0.01571977138519287,0.009739925,7465.404815673828,0.0001,-2.2925798490643503
2,14336,442.0,-108.69250356,0,22649,4.7,7,-0.020833702255913522,3084.862548828125,0.2,30,0.04140625,0.0015907883644104004,0.0067639966,6450.980557250977,0.0001,-2.2515417888760565
2,16384,442.0,-113.02189085999998,0,25272,3.95,8,-0.020522429363336415,3094.0166015625,0.2,35,0.0669921875,0.0002627372741699219,0.008086693,5861.179217529297,0.0001,-2.218895968794823
2,18432,442.0,-101.03267907999998,0,27772,5.91,9,-0.020637814269866793,2567.1455078125,0.2,40,0.05224609375,0.0030791163444519043,0.0065036975,5606.05513458252,0.0001,-2.187511169910431
2,20480,442.0,-88.54781401000002,0,30301,6.53,10,-0.027075750759104268,1851.537109375,0.2,45,0.1111328125,-0.0004857778549194336,0.010315317,4236.543000793457,0.0001,-2.1387001499533653
2,22528,538.0,-81.27006559,0,32873,6.36,11,-0.026656791486311705,1864.118896484375,0.2,50,0.11376953125,-0.0013169050216674805,0.0112574035,3812.597283935547,0.0001,-2.113064503669739
2,24576,442.0,-71.48968332999999,0,35306,8.75,12,-0.012061092022218202,1701.0673828125,0.2,52,0.10361842105263158,5.167722702026367e-05,0.013508393,4275.616540741502,0.0001,-2.0798605826863072
2,26624,490.0,-75.91683492,0,37751,7.86,13,0.0007673113252080622,1877.8846435546875,0.2,54,0.20163690476190477,-0.0008249282836914062,0.01958609,3928.5473981584823,0.0001,-2.0900849274226596
2,28672,626.0,-82.29899189999998,0,40092,7.7,14,0.004169069230556488,2095.9326171875,0.2,55,0.11354166666666667,4.6372413635253906e-05,0.010305783,4982.01142578125,0.0001,-2.024461309115092
2,30720,442.0,-60.74434333999999,0,42410,9.27,15,-0.022250583063578234,1886.70703125,0.2,60,0.1447265625,9.816884994506836e-05,0.0111559555,3833.538446044922,0.0001,-1.9883000783622264
