rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,custom/max_height,custom/current_screen,rollout/ep_len_mean,time/iterations,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/loss,train/value_loss,train/n_updates
-84.95047619,3817,2048,0,4442.0,13,2.74,1,,,,,,,,,,
-36.24767818999999,6827,4096,0,4442.0,13,3.55,2,0.2,0.04125,-0.02547754120081663,0.007444176,0.0001,0.014311909675598145,-0.7042553019523621,18932.14453125,35532.01171875,6
