time/iterations,time/fps,custom/current_screen,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,custom/max_height,time/time_elapsed,train/loss,train/clip_range,train/n_updates,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/value_loss
14,1,5,168.53745806000003,28672,22.8,1714.0,20678,3667.542724609375,0.2,33,0.0001,-0.5405504235854516,-0.0029966158505815724,0.0006036758422851562,0.031302676,0.026682692307692307,6804.703756009615
15,1,5,193.79242548999994,30720,22.51,1714.0,22204,3486.03125,0.2,35,0.0001,-0.49652504324913027,-0.0012638331560248677,0.0005315542221069336,0.014419005,0.053125,6763.041033380682
16,1,5,193.43909236999997,32768,22.24,1714.0,23704,3308.5634765625,0.2,40,0.0001,-0.47728072167248337,-0.004794214395932047,0.0006293058395385742,0.010139811,0.040646114864864864,6572.966387774493
17,1,5,187.73480123999997,34816,22.04,1714.0,25233,3357.25830078125,0.2,41,0.0001,-0.46175432443618775,0.00018991844728589058,0.00036579370498657227,0.003626315,0.010625,6643.666875
18,1,5,184.49669065999996,36864,21.24,1714.0,26704,2967.59814453125,0.2,43,0.0001,-0.42177527248859403,-0.0008454730501398444,0.0002903938293457031,0.013692373,0.019921875,6597.866027832031
19,1,5,204.83799011999992,38912,23.55,1714.0,28234,3271.468017578125,0.2,45,0.0001,-0.42111649345128965,-0.001734007794696551,0.0003312826156616211,0.0071884086,0.023637820512820512,6894.448768028846
20,1,5,187.95179429999996,40960,20.36,1498.0,29732,2837.9912109375,0.2,47,0.0001,-0.42384518012404443,-0.002109640504932031,0.00038820505142211914,0.010829661,0.0234375,5989.36357421875
21,1,5,195.48846821999996,43008,22.33,1714.0,31215,3093.8671875,0.2,49,0.0001,-0.39956624935502594,-0.0006394406233954688,0.00031954050064086914,0.0045291525,0.020720108695652172,6651.519637398098
22,1,5,194.39543244999996,45056,22.97,1746.0,32739,2482.189453125,0.2,51,0.0001,-0.407819040119648,-0.002142317855032161,0.0002866387367248535,0.0064687543,0.020263671875,6167.916351318359
23,1,5,201.82639891999995,47104,22.27,1498.0,34227,3070.245849609375,0.2,52,0.0001,-0.43319806084036827,-0.00079697510227561,0.0002644062042236328,0.0044423062,0.021484375,5947.941070556641
24,1,5,203.28762533,49152,22.27,1642.0,35745,2467.541259765625,0.2,57,0.0001,-0.4035068519413471,-0.004147363008814864,0.0002904534339904785,0.0067716045,0.0302734375,5678.352197265625
25,1,5,156.16281263000002,51200,27.55,1714.0,37619,2294.43408203125,0.2,62,0.0001,-0.4093193732202053,-0.004438669044611742,0.00029528141021728516,0.0076299263,0.04072265625,5220.355749511718
26,1,5,185.08597089999995,53248,25.94,1498.0,39194,1935.2640380859375,0.2,63,0.0001,-0.44470690687497455,-0.008601957311232885,5.942583084106445e-05,0.028330242,0.03125,3788.991455078125
27,1,5,208.63192317999994,55296,21.65,1754.0,40673,2135.416259765625,0.2,64,0.0001,-0.3928652942180634,-0.004501624032855034,0.00022149085998535156,0.016782124,0.0125,4255.779052734375
28,1,5,200.13888205999996,57344,22.49,1754.0,42194,2299.693603515625,0.2,69,0.0001,-0.33434187434613705,-0.002240182159584947,0.0002918839454650879,0.005042783,0.04384765625,4903.819038391113
29,1,5,204.8322198999999,59392,21.79,1498.0,43780,2116.5556640625,0.2,70,0.0001,-0.3496503621339798,-0.0005979412235319614,0.00013214349746704102,0.0036122375,0.00625,5296.68466796875
30,1,5,208.31229394999994,61440,22.32,1746.0,45294,2301.95947265625,0.2,72,0.0001,-0.3407206183130091,-0.0012165628712285648,0.00013566017150878906,0.006737087,0.023579545454545454,4875.24482865767
31,1,5,189.33388631999995,63488,21.0,1669.03,46832,1857.9061279296875,0.2,77,0.0001,-0.3203485254198313,-0.001151873989147134,0.00016236305236816406,0.0043792585,0.02802734375,4319.326461791992
32,1,5,185.85578300999998,65536,22.01,1754.0,48487,1792.1859130859375,0.2,82,0.0001,-0.33280425518751144,-0.004087249473377597,0.0001004934310913086,0.0042892825,0.023828125,4471.015811157226
