custom/current_screen,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,custom/max_height,time/total_timesteps,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/loss,train/value_loss,train/clip_fraction,train/n_updates,train/approx_kl,train/learning_rate,train/clip_range
3,0,2.35,3671,-150.63232621,1,786.0,2048,,,,,,,,,,
3,0,3.23,6797,-148.86790399,2,786.0,4096,-0.0005670785903930664,-2.064798672993978,-0.0501935216943147,7815.80126953125,16809.737767650462,0.2777777777777778,5,0.023140177,0.0001,0.2
3,0,3.38,9793,-149.39675146,3,786.0,6144,0.0038663148880004883,-2.0225950568914413,-0.03849778442527167,6342.2099609375,13376.212280273438,0.18359375,10,0.015948845,0.0001,0.2
3,0,4.59,12548,-148.4946005,4,786.0,8192,0.00015532970428466797,-1.9620159648358821,-0.036338006000733,5928.10595703125,12217.714971923828,0.17197265625,15,0.0127243735,0.0001,0.2
3,0,4.53,14968,-149.49761277,5,786.0,10240,-2.09808349609375e-05,-1.8844548612833023,-0.04043559156707488,5379.39453125,11076.612188720703,0.18115234375,20,0.014762247,0.0001,0.2
3,0,6.93,17111,-146.82468744999997,6,786.0,12288,0.01209646463394165,-1.8359521582722664,-0.02020105952396989,4280.35302734375,9292.664828491212,0.06787109375,25,0.006983518,0.0001,0.2
3,0,7.25,19104,-146.96720349,7,786.0,14336,7.808208465576172e-06,-1.7501006111502648,-0.028047141220304182,3918.83837890625,7826.306231689453,0.091015625,30,0.014493671,0.0001,0.2
3,0,8.78,20821,-143.97431805999997,8,890.0,16384,3.2961368560791016e-05,-1.700190743803978,-0.018644397164462135,3446.244384765625,6977.028030395508,0.0478515625,35,0.0061676055,0.0001,0.2
3,0,9.61,22478,-146.25326384000002,9,890.0,18432,6.020069122314453e-06,-1.6444560125470162,-0.016534430262981913,2743.544921875,5852.408633422851,0.0431640625,40,0.008544337,0.0001,0.2
3,0,12.13,23958,-143.9557805,10,890.0,20480,-0.0004898309707641602,-1.600002719461918,-0.020313435688149185,2209.99609375,5407.879956054688,0.07841796875,45,0.012133069,0.0001,0.2
3,0,15.24,25383,-139.53911844,11,890.0,22528,4.351139068603516e-06,-1.5699053682386874,-0.017140842141816392,1531.9384765625,3582.0652236938477,0.0498046875,50,0.006902892,0.0001,0.2
3,0,17.92,26752,-140.73008781,12,890.0,24576,-9.775161743164062e-06,-1.5702865824103356,-0.01404740649741143,1085.4615478515625,2918.7881820678713,0.05107421875,55,0.005713676,0.0001,0.2
3,0,21.61,28094,-137.63015578,13,786.0,26624,-2.6226043701171875e-06,-1.57035408988595,-0.015335988969309256,1180.168701171875,2286.1582527160645,0.0529296875,60,0.007573057,0.0001,0.2
