rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/clip_range,train/n_updates,train/learning_rate,train/loss,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
141.80030868,27.28,2048.0,1.0,1,1120,,,,,,,,,,
153.46779859,25.41,4096.0,2.0,1,2222,-0.7387751936912537,0.2,5.0,0.0001,44683.390625,85703.5751953125,0.008516183,-0.0027488624735269,-0.0001057386398315,0.05185546875
207.79651892,27.05,6144.0,3.0,1,3297,-0.780821980163455,0.2,10.0,0.0001,43805.5703125,90183.61948242188,0.0043085623,-0.0016247790015768,0.0073975920677185,0.02744140625
274.17727942,28.26,8192.0,4.0,1,4350,-0.8126127772033215,0.2,15.0,0.0001,54562.453125,92502.85009765624,0.0075566964,-0.0040357071004109,0.0067237615585327,0.0662109375
212.86753809,27.85,10240.0,5.0,1,5427,-0.8454380493611098,0.2,20.0,0.0001,50587.546875,89706.3013671875,0.0025095725,-0.0011248628579778,0.0057950019836425,0.0119140625
