rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,custom/current_screen,rollout/ep_len_mean,custom/max_height,train/learning_rate,train/loss,train/approx_kl,train/clip_range,train/explained_variance,train/value_loss,train/entropy_loss,train/n_updates,train/clip_fraction,train/policy_gradient_loss
-135.72487379,0,1024,1679,1,24,3.29,8362.0,,,,,,,,,,
-54.77064571,0,2048,3047,2,24,4.79,8362.0,0.0001,16702.908203125,0.015517634,0.2,0.00036007165908813477,34792.55879934211,-0.6604181810429222,3,0.08388157894736842,-0.020683126205480414
