rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/clip_range,train/n_updates,train/learning_rate,train/loss,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
-82.62272803000002,5.56,2048.0,1.0,0,3166,,,,,,,,,,
-57.6499283,6.44,4096.0,2.0,0,6145,-0.6677824028647772,0.2,4.0,0.0001,7049.5390625,16219.674824025373,0.020047173,-0.015440328950339,-0.0029518604278564,0.1033415841584158
0.685769799999993,8.28,6144.0,3.0,0,8871,-0.6236287590116263,0.2,9.0,0.0001,7612.8017578125,16102.091638183594,0.014065783,-0.0207571805862244,0.0582889914512634,0.13720703125
19.50960626000001,8.88,8192.0,4.0,0,11586,-0.5827137852087617,0.2,14.0,0.0001,8492.9228515625,16850.016680908204,0.0076458305,-0.0158420427527744,0.1459108591079712,0.10634765625
24.692363270000005,9.26,10240.0,5.0,0,14190,-0.5577950431033969,0.2,19.0,0.0001,7674.68115234375,16584.641943359376,0.0050368896,-0.0151550875161774,0.1908667087554931,0.0728515625
78.48184779,10.63,12288.0,6.0,0,16681,-0.5550066271796823,0.2,24.0,0.0001,7875.498046875,16413.042938232422,0.0065055443,-0.0173349685035645,0.225869596004486,0.07373046875
72.35672981,10.66,14336.0,7.0,0,19147,-0.5292376138269901,0.2,29.0,0.0001,7758.5791015625,16591.91553955078,0.0039947107,-0.0107442902110051,0.2198234796524047,0.04111328125
107.27279260999998,11.26,16384.0,8.0,0,21619,-0.5184368865564466,0.2,34.0,0.0001,7661.0771484375,16292.6001953125,0.0031632315,-0.0099107685178751,0.1485058665275573,0.029296875
131.02188293999998,12.54,18432.0,9.0,0,24024,-0.5151686320081353,0.2,39.0,0.0001,8211.2138671875,15972.567315673828,0.0033411868,-0.0087563685170607,0.1071411967277526,0.02666015625
110.10800693000004,11.69,20480.0,10.0,0,26395,-0.5059350548312068,0.2,44.0,0.0001,7015.7119140625,14841.992974853516,0.0035803695,-0.0076573545557039,0.0515543818473815,0.05595703125
156.69119456,12.95,22528.0,11.0,0,28750,-0.4993716195225716,0.2,49.0,0.0001,7435.76220703125,14452.213134765623,0.003780063,-0.0086929508157481,0.0198201537132263,0.0455078125
163.75021088,13.0,24576.0,12.0,0,31113,-0.4880070215091109,0.2,54.0,0.0001,6710.6640625,13791.51651611328,0.0027874708,-0.0047992978958063,0.0352323055267334,0.01962890625
149.87914468,12.37,26624.0,13.0,0,33522,-0.4661920176818966,0.2,59.0,0.0001,6401.71826171875,13230.619061279296,0.005665754,-0.00717343846336,0.0113585591316223,0.03681640625
189.69508947,13.1,28672.0,14.0,0,35923,-0.4487300854176282,0.2,64.0,0.0001,7235.439453125,13114.660546875,0.004170267,-0.0069995251251384,0.006606101989746,0.03798828125
