custom/max_height,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,custom/current_screen,time/total_timesteps,time/iterations,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/loss,train/learning_rate,train/explained_variance,train/approx_kl,train/n_updates,train/clip_range,train/value_loss
282.0,13.76,0,33128,-54.381645340000006,1,22528,11,-2.7517563194036483,-0.027620700921397658,0.1138671875,1447.33740234375,0.0001,-0.0008008480072021484,0.012875715,50,0.2,3393.0786163330076
90.0,15.54,0,35997,-55.55658369,1,24576,12,-2.690408356487751,-0.022208674676949158,0.1015625,1951.413818359375,0.0001,0.00022411346435546875,0.010940101,55,0.2,4447.540022277832
90.0,17.83,0,38856,-49.515305559999995,1,26624,13,-2.695245523750782,-0.016206557393888942,0.063671875,1324.4449462890625,0.0001,-0.0003056526184082031,0.008786237,60,0.2,3230.0145263671875
186.0,17.13,0,41710,-56.53829812,1,28672,14,-2.692403347790241,-0.009996494479128159,0.1701171875,1322.6573486328125,0.0001,3.0159950256347656e-05,0.011850099,65,0.2,3751.710765838623
90.0,19.71,0,44476,-38.77724213,1,30720,15,-2.674711287021637,-0.014396582246990874,0.03828125,894.8958129882812,0.0001,0.002567589282989502,0.007994667,70,0.2,2046.447925567627
282.0,22.6,0,47251,-39.886432459999995,1,32768,16,-2.6605795085430146,-0.020169732821523213,0.10595703125,1114.733642578125,0.0001,0.02126789093017578,0.011126457,75,0.2,2347.0151977539062
186.0,23.71,0,49995,-23.696645919999995,1,34816,17,-2.6431698724627495,-0.013054991158423946,0.04521484375,1615.829345703125,0.0001,0.035981059074401855,0.0056007677,80,0.2,2376.2296928405763
90.0,19.7,0,52774,-32.098079739999996,1,36864,18,-2.6870553001761435,-0.008241882591391914,0.03125,1563.9864501953125,0.0001,0.05053490400314331,0.004581116,85,0.2,2777.51342086792
306.0,19.92,0,55569,-25.565815300000004,1,38912,19,-2.686774602532387,-0.008348342969838995,0.01171875,1930.4130859375,0.0001,0.08906126022338867,0.004034315,90,0.2,2494.4322746276857
186.0,21.46,0,58337,-5.315117680000002,1,40960,20,-2.6632625624537467,-0.01000596427184064,0.0099609375,1728.7142333984375,0.0001,0.08598524332046509,0.005173092,95,0.2,2709.125560760498
90.0,18.72,0,61085,-13.880324489999998,1,43008,21,-2.680252508819103,-0.008105045268894173,0.00654296875,1814.8575439453125,0.0001,0.06767332553863525,0.0021487859,100,0.2,4129.991326904297
186.0,17.56,0,63917,25.749094209999996,1,45056,22,-2.6930313259363174,-0.005367435958760325,0.00244140625,1939.03466796875,0.0001,0.05951738357543945,0.0013629191,105,0.2,4410.485583496094
90.0,19.18,0,66677,21.30628266,1,47104,23,-2.682367043197155,-0.004550125362584367,0.00380859375,3001.662109375,0.0001,0.04787850379943848,0.0010050102,110,0.2,7467.708764648438
90.0,16.78,0,69500,51.56332533,1,49152,24,-2.676085056364536,-0.003431854363589082,0.0,4186.89990234375,0.0001,0.03695559501647949,0.0008732953,115,0.2,7521.35473022461
90.0,16.92,0,72310,21.648346650000004,1,51200,25,-2.6949014961719513,-0.005513643060112372,0.0,4769.99853515625,0.0001,0.0347292423248291,0.0009095047,120,0.2,10336.768173217773
90.0,16.92,0,75131,26.01335697,1,53248,26,-2.695959635078907,-0.004884147606207989,0.0,5759.54345703125,0.0001,0.02205979824066162,0.0008474496,125,0.2,8628.983367919922
186.0,19.75,0,77894,25.25609602,1,55296,27,-2.7010280922055245,-0.0043483702524099496,0.00302734375,4121.5654296875,0.0001,0.0504072904586792,0.0020448552,130,0.2,8259.106640625
186.0,17.59,0,80691,24.704547270000003,1,57344,28,-2.6963770762085915,-0.002461140078958124,0.0,3355.20703125,0.0001,0.05760836601257324,0.00052858796,135,0.2,7528.4856826782225
186.0,17.95,0,83546,72.69329597000001,1,59392,29,-2.6839116662740707,-0.005220382346305996,0.0044921875,4556.169921875,0.0001,0.054634928703308105,0.0014177017,140,0.2,7788.281288146973
306.0,14.44,0,86399,37.143876049999996,1,61440,30,-2.66441867351532,-0.004069634385814425,0.0001953125,6147.14794921875,0.0001,0.036755919456481934,0.0010749011,145,0.2,11855.740597534179
90.0,17.62,0,89187,41.19219956,1,63488,31,-2.662446241080761,-0.0035997002240037547,0.0,3741.597900390625,0.0001,0.03691971302032471,0.00034394782,150,0.2,11025.36498413086
186.0,16.3,0,92060,55.803074280000004,1,65536,32,-2.657105326652527,-0.0034416460650390944,0.0,3407.79931640625,0.0001,0.0492931604385376,0.0007371877,155,0.2,10061.65340270996
90.0,16.59,0,94911,70.51157737,1,67584,33,-2.6574348703026773,-0.0036862365624983793,0.0,7367.31005859375,0.0001,0.054267823696136475,0.0006407767,160,0.2,11163.55654296875
90.0,16.74,0,97787,59.688435180000006,1,69632,34,-2.6583111107349398,-0.005859595091897063,0.0041015625,6420.70849609375,0.0001,0.043274104595184326,0.0012175251,165,0.2,11535.611657714844
90.0,16.48,0,100592,106.22090922999998,1,71680,35,-2.640110681951046,-0.004112912356504239,0.0,6568.4287109375,0.0001,0.02575761079788208,0.00074180064,170,0.2,11892.06591796875
90.0,14.41,0,103472,119.01115601,1,73728,36,-2.618073607981205,-0.005240088503342122,0.00068359375,8024.84033203125,0.0001,0.045679450035095215,0.00084389886,175,0.2,13959.490905761719
90.0,14.18,0,106364,120.55961295000002,1,75776,37,-2.631937897205353,-0.004378916561836377,0.0,7905.857421875,0.0001,0.033733487129211426,0.0007816644,180,0.2,18979.65888671875
282.0,13.96,0,109259,109.74175371000001,1,77824,38,-2.597505822777748,-0.007254555635154247,0.0041015625,8626.998046875,0.0001,0.022403478622436523,0.0019132744,185,0.2,17445.811950683594
90.0,13.15,0,112243,163.57203023999998,1,79872,39,-2.56701098382473,-0.0077923076984006915,0.0,9208.951171875,0.0001,0.02423161268234253,0.0014953001,190,0.2,18128.48131713867
186.0,14.35,0,115193,186.12210336999996,1,81920,40,-2.5120716959238054,-0.007736063958145678,0.003515625,10465.9169921875,0.0001,0.023576319217681885,0.001794463,195,0.2,20701.2828918457
90.0,12.44,0,118199,144.19178753,1,83968,41,-2.491162268817425,-0.00988741998153273,0.00439453125,10509.5986328125,0.0001,0.01759624481201172,0.003254007,200,0.2,19423.63361816406
306.0,12.68,0,121147,175.13314828999998,1,86016,42,-2.458572359383106,-0.010077928483951837,0.00166015625,10112.7763671875,0.0001,0.014544069766998291,0.0028544571,205,0.2,20967.533056640626
90.0,12.29,0,124110,186.64118586000004,1,88064,43,-2.435061500966549,-0.0057761418749578295,0.00048828125,9640.2392578125,0.0001,0.034524738788604736,0.0013333168,210,0.2,21114.41032714844
