time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,custom/max_height,custom/current_screen,rollout/ep_len_mean,train/clip_range,train/approx_kl,train/loss,train/value_loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/learning_rate
0,2048,72.52679816999999,2661,1,4314.0,12,7.72,,,,,,,,,,
0,4096,45.180729310000004,5277,2,4074.0,12,8.04,0.2,0.0042310413,11163.8505859375,22567.724499511718,0.03642578125,0.016455411911010742,-0.0026211746415356176,125,-1.045635061711073,0.0001
0,6144,41.179018500000005,7898,3,4002.0,12,7.64,0.2,0.0039677043,11250.0361328125,21788.82229003906,0.033984375,0.007520139217376709,-0.003554824634920806,130,-1.014877885952592,0.0001
0,8192,88.47475526,10533,4,4074.0,12,7.84,0.2,0.02171149,9414.447265625,21264.241262335527,0.028782894736842105,0.0040898919105529785,0.00509956986398289,132,-1.0406426112902791,0.0001
0,10240,49.79059997,13218,5,4074.0,12,6.83,0.2,0.004478318,11334.3662109375,21924.827895220587,0.016911764705882352,0.006905198097229004,-0.0004903342191349058,135,-0.9832523205701043,0.0001
0,12288,45.40653901,15903,6,4074.0,12,7.72,0.2,0.006352268,10060.365234375,21856.638586425783,0.0396484375,0.007353723049163818,-0.0024177556682843716,140,-1.0103138707578183,0.0001
0,14336,12.19515927,18598,7,4074.0,12,6.98,0.2,0.006647758,10950.5458984375,21097.3740234375,0.016741071428571428,0.015480458736419678,0.015129274489091975,141,-1.037564103092466,0.0001
0,16384,52.25819736,21246,8,4074.0,12,7.15,0.2,0.004812282,11364.55078125,21255.383642578126,0.01923828125,0.018672049045562744,-0.0036467043741140515,146,-1.0488430988043547,0.0001
0,18432,44.278384110000005,23845,9,4074.0,12,7.09,0.2,0.003389966,10119.869140625,21061.216838877688,0.006216397849462365,0.022886157035827637,0.00017267679395053975,149,-1.0332715562594834,0.0001
0,20480,63.26344128000001,26447,10,4314.0,12,7.4,0.2,0.0027659815,11107.2568359375,21273.73259277344,0.00927734375,0.01816082000732422,-0.001715470469207503,154,-1.0044974282383918,0.0001
0,22528,58.76436535,29107,11,4250.0,12,7.77,0.2,0.0024526427,10424.2705078125,21617.74997558594,0.01025390625,0.01081019639968872,-0.002005940367234871,159,-1.0081572704017163,0.0001
0,24576,46.34118353000001,31720,12,4074.0,12,7.79,0.2,0.0045820195,10484.2822265625,21207.24940500828,0.007346854304635762,0.013005256652832031,-6.200232549218942e-05,164,-1.015619129139856,0.0001
0,26624,16.884784660000005,34330,13,4234.0,12,7.02,0.2,0.003062465,9066.037109375,20052.382048233696,0.01358695652173913,0.01938331127166748,-0.0013823793067232423,165,-1.064068669858186,0.0001
0,28672,59.46836247,36863,14,4074.0,12,7.76,0.2,0.003220764,10631.1123046875,21155.03908691406,0.0109375,0.012293040752410889,-0.003710178117034957,170,-1.040054052695632,0.0001
0,30720,75.32946832,39462,15,4250.0,12,7.91,0.2,0.008758587,10256.927734375,20881.608132102272,0.009659090909090909,0.01691657304763794,-0.00020850393921136856,174,-1.0488665461540223,0.0001
0,32768,23.46691364,42060,16,4146.0,12,7.36,0.2,0.0059876265,9509.8681640625,21419.1177734375,0.0349609375,0.014842391014099121,-0.0026587650179862978,179,-1.0190272323787213,0.0001
0,34816,74.89853537,44736,17,4250.0,12,7.35,0.2,0.0087968,10230.115234375,20984.890531994046,0.02194940476190476,0.013375401496887207,0.0021008868879150776,181,-0.9972969804491315,0.0001
0,36864,85.56041237000001,47354,18,4074.0,12,7.61,0.2,0.0035398148,10598.201171875,21823.7427734375,0.016145833333333335,0.02138620615005493,0.004327394564946492,182,-0.9493294179439544,0.0001
0,38912,97.72067125,49935,19,4314.0,12,8.37,0.2,0.035071876,10283.75390625,20971.088704427082,0.02734375,0.024215757846832275,-0.002473201680307587,183,-0.9983179171880087,0.0001
