time/time_elapsed,rollout/ep_rew_mean,custom/max_height,rollout/ep_len_mean,custom/current_screen,time/iterations,time/total_timesteps,time/fps,train/clip_fraction,train/approx_kl,train/n_updates,train/explained_variance,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_range,train/entropy_loss
28951,63.519930159999994,13282.0,14.56,37,16,32768,1,0.00439453125,0.002552216,127,0.0374835729598999,0.0001,34769.68322753906,-0.005447793519124389,18089.46875,0.2,-0.6918452549725771
30465,16.228477840000004,13026.0,16.74,37,17,34816,1,0.01123046875,0.002870251,132,0.027613699436187744,0.0001,31777.291137695312,-0.004489975556498394,17116.806640625,0.2,-0.693124420195818
32121,5.831686010000009,13026.0,16.12,37,18,36864,1,0.00263671875,0.001521681,137,0.02881842851638794,0.0001,36362.94425048828,-0.002570018271217123,19091.5859375,0.2,-0.7170561037957668
33731,-6.298066539999994,13058.0,14.77,37,19,38912,1,0.00478515625,0.0012793496,142,0.03326058387756348,0.0001,38973.974389648436,-0.0026350390777224674,13568.3095703125,0.2,-0.693085977435112
35310,-51.02899886,13058.0,14.33,37,20,40960,1,0.00439453125,0.0011121896,147,0.025527238845825195,0.0001,39627.856433105466,-0.002048518322408199,25197.330078125,0.2,-0.6930150885134936
36878,-2.5018782699999913,13058.0,15.82,37,21,43008,1,0.00078125,0.00075113226,152,0.0252266526222229,0.0001,36708.96151123047,-0.0020260903722373767,18470.32421875,0.2,-0.6843127135187388
38459,1.0295010000000053,13026.0,16.06,37,22,45056,1,0.00107421875,0.0007023733,157,0.023760855197906494,0.0001,38456.616662597655,-0.0016890488448552787,14926.9326171875,0.2,-0.6944120865315199
40074,18.054331479999995,13026.0,15.17,37,23,47104,1,0.00419921875,0.0010619209,162,0.013175010681152344,0.0001,52718.08525390625,-0.002347912403638475,23637.67578125,0.2,-0.7174366191029549
41588,17.251128030000004,13202.0,16.77,37,24,49152,1,0.0048828125,0.0012706285,167,0.03764992952346802,0.0001,32346.767199707032,-0.002377110082306899,15386.8857421875,0.2,-0.7142394192516803
43062,0.025579710000007586,13058.0,15.67,37,25,51200,1,0.00380859375,0.0010928203,172,0.03505384922027588,0.0001,35269.28356933594,-0.0019204113312298432,13588.0859375,0.2,-0.7487415615469217
44595,-7.779461139999994,13202.0,16.95,37,26,53248,1,0.0068359375,0.0013597559,177,0.02450716495513916,0.0001,42021.66604003906,-0.002315549150807783,14608.2958984375,0.2,-0.7061949118971824
46151,28.682876710000013,13058.0,15.02,37,27,55296,1,0.0005859375,0.0017014011,182,0.023190319538116455,0.0001,37208.19184570313,-0.0030568104892154226,13642.421875,0.2,-0.7049172185361385
47743,47.282697490000004,13058.0,14.92,37,28,57344,1,0.00498046875,0.0010281029,187,0.030004799365997314,0.0001,34231.84233398437,-0.002448575253947638,16021.7119140625,0.2,-0.7076019559055566
49261,45.597910500000005,13282.0,15.77,37,29,59392,1,0.0080078125,0.001985771,192,0.03504455089569092,0.0001,36514.429418945314,-0.0031955482147168366,17460.759765625,0.2,-0.6811622634530068
50901,57.71899627000002,13058.0,15.13,37,30,61440,1,0.00947265625,0.0012623768,197,0.038822829723358154,0.0001,34887.16385498047,-0.0026834653515834363,18515.228515625,0.2,-0.6587669122964144
52446,68.62341466000001,13026.0,16.18,37,31,63488,1,0.00849609375,0.0017511358,202,0.03484976291656494,0.0001,31907.579162597656,-0.0033584476652322335,16005.3759765625,0.2,-0.6663096334785223
54037,-9.437520439999993,13026.0,16.23,37,32,65536,1,0.00810546875,0.0013045501,207,0.02494180202484131,0.0001,45685.173376464845,-0.0023950791597599163,24195.15234375,0.2,-0.669920825585723
55563,32.595364059999994,13258.0,14.1,37,33,67584,1,0.0076171875,0.0018231289,212,0.03342127799987793,0.0001,39426.90313720703,-0.004205323253700044,18932.724609375,0.2,-0.6513947308063507
57194,11.251787380000005,13058.0,15.61,37,34,69632,1,0.00546875,0.00094501104,217,0.03200852870941162,0.0001,37649.806323242185,-0.0024422449612757193,16490.0078125,0.2,-0.6580865800380706
58962,23.83786464,13058.0,15.8,37,35,71680,1,0.0021484375,0.0007020751,222,0.048509299755096436,0.0001,37131.27575683594,-0.0014508600346744061,20684.341796875,0.2,-0.6948436308652163
60610,27.18482518999999,13058.0,14.88,37,36,73728,1,0.00380859375,0.0006878314,227,0.03832155466079712,0.0001,41449.134765625,-0.0009028412925545127,17941.724609375,0.2,-0.6831240687519312
62206,60.074582109999994,13026.0,15.74,37,37,75776,1,0.0041015625,0.0014451221,232,0.06293189525604248,0.0001,31262.072900390624,-0.002019662072416395,12346.3935546875,0.2,-0.6671669945120812
63879,25.22646197,13058.0,14.25,37,38,77824,1,0.00517578125,0.0005762902,237,0.037514567375183105,0.0001,38166.11923828125,-0.001884554699063301,15901.193359375,0.2,-0.6795432742685079
65460,80.07583056000003,13282.0,16.24,37,39,79872,1,0.00224609375,0.00045575836,242,0.050476908683776855,0.0001,39024.58575439453,-0.0006190005486132577,19158.029296875,0.2,-0.6725765485316515
67080,26.999555970000007,13282.0,15.71,37,40,81920,1,0.00771484375,0.0007829926,247,0.03463757038116455,0.0001,42142.446228027344,-0.0015500573004828765,22104.876953125,0.2,-0.6868571300059557
68671,33.8230632,13258.0,15.85,37,41,83968,1,0.0033203125,0.0013204152,252,0.04198247194290161,0.0001,35917.78872070312,-0.0024258869467303156,15763.2880859375,0.2,-0.6892243698239326
70244,43.85896274000001,13058.0,15.23,37,42,86016,1,0.00458984375,0.0011293719,257,0.03629958629608154,0.0001,39367.919396972655,-0.0028506625531008467,13180.5537109375,0.2,-0.6943360906094312
71884,25.380631809999997,13058.0,13.78,37,43,88064,1,0.00205078125,0.0006071803,262,0.04872250556945801,0.0001,35976.79085693359,-0.001206292526330799,16409.6796875,0.2,-0.6946953237056732
73399,20.52307554,13058.0,15.68,37,44,90112,1,0.00576171875,0.0013957033,267,0.043356120586395264,0.0001,38956.24385986328,-0.0018192177114542574,17395.533203125,0.2,-0.6995906215161085
74952,55.64947642,13202.0,15.25,37,45,92160,1,0.00166015625,0.0006427397,272,0.04146742820739746,0.0001,40698.329272460935,-0.0009018555007060059,18596.66796875,0.2,-0.6916797270998358
76606,18.27740996,13058.0,14.43,37,46,94208,1,0.0080078125,0.0012652487,277,0.04037654399871826,0.0001,38894.260241699216,-0.0020896583766443653,19978.84375,0.2,-0.7034703198820352
78195,83.39903642000003,13058.0,15.61,37,47,96256,1,0.00283203125,0.00038933454,282,0.05109435319900513,0.0001,35544.5521118164,-0.0010090628114994616,17658.05078125,0.2,-0.6931664537638426
79833,-6.333540989999988,13026.0,14.03,37,48,98304,1,0.0048828125,0.0011211275,287,0.04966771602630615,0.0001,35714.77520751953,-0.001785738574108109,16169.921875,0.2,-0.727882020547986
81389,54.499333370000016,13058.0,15.63,37,49,100352,1,0.00244140625,0.0005840868,292,0.06240814924240112,0.0001,32482.1171875,-0.001794329017866403,17345.79296875,0.2,-0.7063276335597038
82958,32.443107710000014,13258.0,14.89,37,50,102400,1,0.00341796875,0.00090309023,297,0.047020137310028076,0.0001,38478.30050048828,-0.001992931668064557,18600.59375,0.2,-0.709750397130847
84548,63.47221912,13282.0,16.63,37,51,104448,1,0.000390625,0.0003031151,302,0.04865390062332153,0.0001,36521.854455566405,-0.0012499162432504818,20428.140625,0.2,-0.7082716800272465
