custom/current_screen,time/iterations,rollout/ep_rew_mean,time/fps,custom/max_height,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/loss,train/value_loss,train/n_updates,train/explained_variance
0,1,-1.1590909090909092,1,-302.0,345,5.818181818181818,512,,,,,,,,,,
0,2,-0.9329999999999995,1,-302.0,714,5.4,1024,0.2,-2.881391617655754,-0.023361900806776248,0.0003,0.1716796875,0.023810841,21.867900848388672,58.530706560611726,10,-0.00427854061126709
0,3,-1.1474999999999997,1,-302.0,1077,5.61,1536,0.2,-2.8628395825624464,-0.019290697821998038,0.0003,0.0708984375,0.008269165,96.18124389648438,172.7744460105896,20,0.05438065528869629
0,4,-0.9449999999999998,1,-302.0,1444,5.18,2048,0.2,-2.8424950748682023,-0.02615434902254492,0.0003,0.15546875,0.013513141,40.49649429321289,88.1392150402069,30,0.09781116247177124
0,5,-1.0719999999999998,1,-158.0,1822,5.45,2560,0.2,-2.8478552877902983,-0.01361781518207863,0.0003,0.00859375,0.003974976,117.80404663085938,251.39943771362306,40,0.1137043833732605
0,6,-1.0294999999999996,1,-302.0,2205,5.32,3072,0.2,-2.8266452729701994,-0.01729422453790903,0.0003,0.078515625,0.011213496,52.50306701660156,102.01581778526307,50,0.2817355990409851
0,7,-1.3129999999999997,1,-302.0,2589,5.19,3584,0.2,-2.811144155263901,-0.021551744116004558,0.0003,0.0705078125,0.010104037,98.82183837890625,195.35860843658446,60,0.18785369396209717
0,8,-1.13,1,-158.0,2986,5.43,4096,0.2,-2.775776571035385,-0.02468124292208813,0.0003,0.1166015625,0.012104462,59.817684173583984,164.46824741363525,70,0.19776785373687744
0,9,-0.9649999999999999,1,-302.0,3365,5.27,4608,0.2,-2.740952801704407,-0.02436227261205204,0.0003,0.10390625,0.011979464,65.48616790771484,129.41858072280883,80,0.20099496841430664
0,10,-0.7069999999999997,1,-158.0,3760,5.26,5120,0.2,-2.7133045941591263,-0.026410783355822788,0.0003,0.0751953125,0.0112399245,96.0671157836914,208.26739892959594,90,0.11264705657958984
0,11,-1.1504999999999992,1,-302.0,4137,5.2,5632,0.2,-2.6791888415813445,-0.01976655834587291,0.0003,0.0482421875,0.010592703,217.53887939453125,256.2842523574829,100,0.11711370944976807
0,12,-1.388,1,-302.0,4533,5.17,6144,0.2,-2.6719769835472107,-0.02208244752837345,0.0003,0.0423828125,0.007745836,222.55982971191406,295.8736795425415,110,0.11758291721343994
0,13,-0.6775,1,-158.0,4948,5.08,6656,0.2,-2.592015853524208,-0.02546246481942944,0.0003,0.12109375,0.012055444,84.33333587646484,197.09446744918824,120,0.20310574769973755
1,14,-0.7014999999999998,1,90.0,5365,5.2,7168,0.2,-2.5633462756872176,-0.022474385774694385,0.0003,0.0669921875,0.010250331,87.13868713378906,233.83908233642578,130,0.19608265161514282
0,15,-1.6284999999999996,1,-158.0,5790,5.1,7680,0.2,-2.5328030228614806,-0.018404262640979142,0.0003,0.0484375,0.008240258,118.25749969482422,255.4151834487915,140,0.11917215585708618
0,16,-1.0844999999999994,1,-158.0,6208,5.42,8192,0.2,-2.426481756567955,-0.019286567496601494,0.0003,0.060546875,0.012067203,130.74249267578125,265.89849643707277,150,0.21800732612609863
0,17,-1.671,1,-302.0,6607,5.26,8704,0.2,-2.4396736294031145,-0.01707892745034769,0.0003,0.0298828125,0.007856239,87.61886596679688,188.3373146057129,160,0.13737350702285767
0,18,-1.6384999999999998,1,-302.0,7042,5.4,9216,0.2,-2.44556682407856,-0.017930454754969107,0.0003,0.048046875,0.009343905,109.7368392944336,189.3030898094177,170,0.2591363787651062
0,19,-0.14149999999999974,1,-158.0,7477,4.84,9728,0.2,-2.3638377130031585,-0.02291169763193466,0.0003,0.0826171875,0.008830426,95.85115814208984,189.01609649658204,180,0.23044973611831665
0,20,-1.273,1,-302.0,7921,5.03,10240,0.2,-2.396974208950996,-0.018582018424058332,0.0003,0.0802734375,0.01093104,126.01026153564453,284.34468307495115,190,0.16137343645095825
0,21,-0.04149999999999988,1,-14.0,8340,4.72,10752,0.2,-2.3542611092329024,-0.025503524288069457,0.0003,0.108984375,0.01100881,104.79537200927734,261.3681085586548,200,0.2269694209098816
0,22,-0.9044999999999994,1,-158.0,8799,5.05,11264,0.2,-2.387068969011307,-0.016289016272639855,0.0003,0.0517578125,0.009171545,158.1667938232422,343.88415145874023,210,0.13512903451919556
0,23,-1.2615,1,-302.0,9226,4.84,11776,0.2,-2.252254840731621,-0.016061863861978054,0.0003,0.0330078125,0.0075597186,142.56834411621094,253.92565422058107,220,0.1911870837211609
0,24,-1.2705,1,-302.0,9672,4.8,12288,0.2,-2.3263139963150024,-0.020688758237520234,0.0003,0.0806640625,0.0113715865,197.24790954589844,344.5195322036743,230,0.10567861795425415
0,25,-1.2980000000000005,1,-302.0,10143,4.81,12800,0.2,-2.189284586906433,-0.017256475589238107,0.0003,0.05625,0.011807052,116.44857788085938,297.9188179016113,240,0.21926724910736084
0,26,-1.2774999999999999,1,-158.0,10608,5.14,13312,0.2,-2.15260049700737,-0.015958816173952072,0.0003,0.047265625,0.0069666402,112.81694030761719,273.07681064605714,250,0.1978151798248291
0,27,-1.2659999999999998,1,-158.0,11053,4.8,13824,0.2,-2.110201758146286,-0.01673929237294942,0.0003,0.0966796875,0.011754634,118.87625122070312,218.17152099609376,260,0.23593008518218994
0,28,-0.6769999999999999,1,-302.0,11508,4.97,14336,0.2,-2.102041098475456,-0.02233132169349119,0.0003,0.1046875,0.013940278,219.79515075683594,332.62450180053713,270,0.19745761156082153
0,29,-0.8429999999999995,1,-302.0,11980,4.74,14848,0.2,-1.9536023899912833,-0.017489521141396836,0.0003,0.083984375,0.0127811385,93.16608428955078,268.7154323577881,280,0.1914081573486328
0,30,-1.4659999999999997,1,-158.0,12458,4.91,15360,0.2,-1.8986759170889855,-0.01998701275442727,0.0003,0.077734375,0.00890358,152.02635192871094,320.2031286239624,290,0.1888369917869568
