time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,custom/max_height,time/time_elapsed,custom/current_screen,rollout/ep_len_mean,train/approx_kl,train/n_updates,train/clip_range,train/loss,train/value_loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss
0,2048,1,-189.84199999999998,13026.0,5856,37,2.39,,,,,,,,,,
0,4096,2,-160.02701586999996,13026.0,10659,37,3.23,0.020424055,2,0.2,19245.044921875,40429.760044642855,0.0001,0.0032432079315185547,-0.02279101454353492,0.17075892857142858,-0.6592991948127747
0,6144,3,-157.93907691999996,13026.0,14925,37,3.42,0.019289562,7,0.2,16612.474609375,36219.869113685345,0.0001,0.00736922025680542,-0.0241229343838219,0.25420258620689656,-0.7589013165441053
0,8192,4,-164.80564834999998,13026.0,18576,37,4.18,0.013866851,12,0.2,15872.2666015625,32779.246057128905,0.0001,0.0057106614112854,-0.019445313059259207,0.19404296875,-0.8122273791581393
0,10240,5,-173.41933332999994,13026.0,22135,37,4.02,0.0102266185,17,0.2,16988.33984375,33237.59772949219,0.0001,0.00204390287399292,-0.016067151885363274,0.13623046875,-0.8381787355989218
0,12288,6,-160.15041024999996,13258.0,25415,37,4.78,0.008533338,22,0.2,12179.763671875,29307.689599609374,0.0001,0.0007069110870361328,-0.015648673649411648,0.14033203125,-0.8245863538235426
0,14336,7,-159.50709090999996,13058.0,28331,37,5.83,0.008962286,27,0.2,16621.47265625,29507.488220214844,0.0001,0.0002664327621459961,-0.016298762799124233,0.16162109375,-0.8262076012790203
0,16384,8,-151.88133332999993,13282.0,31057,37,5.59,0.009143483,32,0.2,10614.0791015625,25643.97559814453,0.0001,0.00013458728790283203,-0.009141421478125267,0.0525390625,-0.8061451815068722
0,18432,9,-124.38597151999997,13058.0,33455,37,6.48,0.011145837,37,0.2,16021.7109375,29354.21993408203,0.0001,6.884336471557617e-05,-0.010085145881748758,0.05263671875,-0.8115487203001976
0,20480,10,-131.62989742999994,13026.0,35848,37,6.53,0.009482296,42,0.2,17497.177734375,27870.001391601563,0.0001,5.358457565307617e-05,-0.009995441653882154,0.08984375,-0.8224137242883444
0,22528,11,-123.95090475999997,13282.0,38045,37,7.46,0.007709536,47,0.2,12189.4697265625,26546.21306152344,0.0001,4.8100948333740234e-05,-0.009847463655751199,0.06279296875,-0.7999101761728525
