custom/max_height,time/time_elapsed,time/fps,rollout/ep_rew_mean,custom/current_screen,time/iterations,rollout/ep_len_mean,time/total_timesteps,train/clip_fraction,train/clip_range,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,train/n_updates,train/learning_rate,train/value_loss,train/policy_gradient_loss
5530.0,2516,0,119.40048299,16,1,10.91,2048,,,,,,,,,,
5562.0,4996,0,138.90028682,16,2,11.67,4096,0.0154296875,0.2,-0.5820047067478299,7429.0224609375,0.03262495994567871,0.003315796,77,0.0001,13188.500164794921,-0.006002594964229502
